('2017-04-25 15:59:37', 'JPMorgan Chase &amp; Co. $JPM Director Acquires $983020.00 in Stock https://t.co/zgkmqwtLIL')
('2017-04-25 14:23:56', 'GoldenCross Breakout $RLGY $SPY $QQQ $INDU $IWM $AGG $BND $GLD $BTC $GOOG $IVV $VTI $AAPL $FB $dia $indu $c $usd‰Û_ https://t.co/Ee99VYfNMG')
('2017-04-25 14:23:17', 'RT @thebrandindex: Worst sector for 10 years? $XLF Financials. If trumps agenda gets pushed through rates and net interest margins mean re‰Û_')
('2017-04-25 14:22:09', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/YnLfp4COAH')
('2017-04-25 14:22:08', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/kgalvYH0Hq')
('2017-04-25 14:21:57', 'Worst sector for 10 years? $XLF Financials. If trumps agenda gets pushed through rates and net interest margins me‰Û_ https://t.co/E4rWK9kFkv')
('2017-04-25 14:19:12', 'Guggenheim upgrades $JPM from Neutral to Buy https://t.co/jClQ2NesAQ')
('2017-04-25 14:18:55', '$JPM opened over the 50 day SMA and has stayed over it so far today on this bull flag.')
('2017-04-25 14:11:07', '$JPM filed Form 424B2 with the SEC. Most mentioned words: notes index interest payment review')
('2017-04-25 14:02:02', 'American National Insurance Co. TX Has $29413000 Stake in JPMorgan Chase &amp; Co. $JPM https://t.co/vfnjT4Gbou')
('2017-04-25 14:02:00', 'American National Insurance Co. TX Has $29413000 Stake in JPMorgan Chase &amp; Co. $JPM https://t.co/lLhHdc2dhC')
('2017-04-25 13:58:02', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/27GlWIhc8D')
('2017-04-25 13:49:34', 'Banks are next gotta get in one for the week $GS $WFC $JPM $BAC $C $XLF $SPY')
('2017-04-25 13:49:04', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/XmyzllTjDF')
('2017-04-25 13:49:03', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/U0WxNJW8Qx')
('2017-04-25 13:46:32', 'RT @PortfolioBuzz: Trading indices? Check stories for the major constituents of #SP500 $CVX $PG $JPM https://t.co/Rwpf6Sogpu https://t.co/l‰Û_')
('2017-04-25 13:43:25', '$JPM $BAC calls up 350% on JPM $90 target remains https://t.co/oUcIs7fyCe')
('2017-04-25 13:41:42', 'Trading indices? Check stories for the major constituents of #SP500 $CVX $PG $JPM https://t.co/Rwpf6Sogpu https://t.co/l5myc7i6yv')
('2017-04-25 13:41:08', 'Massive rally in $XLF $JPM $BAC continues. Combined with $QQQ all-time highs this should get us to $SPX 2450 within the next week or two.')
('2017-04-25 13:33:04'," ""$WFC $CR $BBY $JPM Benzinga's Top Upgrades Downgrades For April 25 2017 - https://t.co/QZBk3Zfild"")"
('2017-04-25 13:31:08', 'Less than 60% is dangerous terrain for bank directors. Two from $JPM retired after getting in the 59% and 53% in 20‰Û_ https://t.co/Gt5bAUDlWq')
('2017-04-25 13:30:27', 'RT @raymond10mm: $GOOG $AAPL $NFLX $PG $jnj $XOM $WFC $GS $fb $JPM $t $GE $lmt $ko $LYB $TWX $MSFT $CL $TXN $INTC $TSLA $D $HCA $DO $ECL $J‰Û_')
('2017-04-25 13:24:05', '$JPM $FIT $TMUS:\n\nJPMorgan Chase Fitbit T-Mobile Upgraded:\n\nhttps://t.co/BsryLhdRlI')
('2017-04-25 13:23:01', '$GS $MS $JPM chart https://t.co/F90s8OpzQS')
('2017-04-25 13:21:04', '$CATB strong.  upgrades $BBY $SUN $AXP $JPM $WFC $NCS $TEX #stocks #investing #tradeideas #trading')
('2017-04-25 13:19:09', 'Upgrades 4/25: $AMX $APPS $AXP $BBY $CR $JPM $NCS $SUN $TEX $WFC')
('2017-04-25 13:17:54', '#247WallSt #investing #daytrading Tuesday Top Analyst Upgrades &amp; Downgrades $AMZN $AXP $BBY $GE $JPM $WFC‰Û_ https://t.co/uzbAvm4B0a')
('2017-04-25 13:17:47', '#247WallSt #investing #daytrading Tuesday Top Analyst Upgrades &amp; Downgrades $AMZN $AXP $BBY $GE $JPM $WFC‰Û_ https://t.co/GNqktG1fit')
('2017-04-25 13:16:21', 'RT @OptionAlert: Largest open interest increases among single stock options for 4/25 include $BAC $MSFT $AAPL $MU and $JPM.')
('2017-04-25 13:16:19', 'JPMorgan Chase &amp; Co. $JPM Director Acquires $983020.00 in Stock https://t.co/m3LmnIUCPq')
('2017-04-25 13:16:01', 'Largest open interest increases among single stock options for 4/25 include $BAC $MSFT $AAPL $MU and $JPM.')
('2017-04-25 13:15:23', 'Vetr Inc. Downgrades JPMorgan Chase &amp; Co. $JPM to Buy https://t.co/fIuea4WL1c')
('2017-04-25 13:13:39', 'Clough Capital Partners L P Sells 145520 Shares of JPMorgan Chase &amp; Co. $JPM https://t.co/LBEJepNtMI')
('2017-04-25 13:12:19', '#investing #daytrading Tuesday Top Analyst Upgrades &amp; Downgrades $AMZN $AXP $BBY $GE $JPM $WFC https://t.co/5SzE2f3z8G')
('2017-04-25 13:10:31', '#investing #daytrading Tuesday Top Analyst Upgrades &amp; Downgrades $AMZN $AXP $BBY $GE $JPM $WFC \nhttps://t.co/3Cj9BKWY8h')
('2017-04-25 13:07:47', '$GOOG $AAPL $NFLX $PG $jnj $XOM $WFC $GS $fb $JPM $t $GE $lmt $ko $LYB $TWX $MSFT $CL $TXN $INTC $TSLA $D $HCA $DO‰Û_ https://t.co/Obu0bDYjaO')
('2017-04-25 13:04:51', 'Notable Analyst Upgrades 04/25 $AXP $BBY $JPM $NCS $SUN $TEX $WFC')
('2017-04-25 13:00:30', 'Top And Bottom Scoring Large Caps - Tuesday April 25 $AEP $AJG $AMT $BA $BAX $BCR $CSX $DTE $EIX $EMN $FMC $JPM https://t.co/oGiIinqh1c')
('2017-04-25 12:58:36', '@WellHandy even in $JPM case  check when px broke 70 &amp; into 80  RSI @ 80++  still no sign of weakness until Mar1‰Û_ https://t.co/0vqeySEN56')
('2017-04-25 12:53:52', 'RT @WallStJesus: $JPM REPEAT BULL SWEEPERS THROUGHOUT THE MORNING')
('2017-04-25 12:52:01', 'Vetr Inc. Downgrades JPMorgan Chase &amp; Co. $JPM to Buy https://t.co/fIuea4WL1c')
('2017-04-25 12:48:40', 'The Ghost of JP Morgan ‰ÛÒ Buy My Stock: Bonus Idea https://t.co/yuapMW6g7T $JPM #bank #earnings #financial')
('2017-04-25 12:43:00', '$BIIB $CAT $MMM $MCD $ESRX $JPM $SBUX $GE Morning briefing: market news upgrades/downgrades 4.25 https://t.co/CyYt4lvmUI')
('2017-04-25 12:41:14', 'The Ghost of JP Morgan ‰ÛÒ Buy My Stock: Bonus Idea https://t.co/czX8h0UCON $JPM #bank #earnings #financial https://t.co/paEEZQekKD')
('2017-04-25 12:41:14', 'The Ghost of JP Morgan ‰ÛÒ Buy My Stock: Bonus Idea https://t.co/1vWLNKIgYe $JPM #bank #earnings #financial https://t.co/luPnyhw4pV')
('2017-04-25 12:23:20', 'Morning Call For Tuesday April 25 $AA $ABX $CNI $CVS $HUM $JPM $RRC $UIS $WHR $CDNS $ESRX $SANM $ZION $SLCA $KPTI https://t.co/XS6Jhb6DqU')
('2017-04-25 12:19:04'," ""RT @HughJRobbins: $JPM upgraded to 'Buy' from 'Neutral' at Guggenheim with a PT of 96.00; up 0.7% to 88.10 in PreM trading #stocks #investi‰Û_"")"
('2017-04-25 12:11:19'," ""$JPM upgraded to 'Buy' from 'Neutral' at Guggenheim with a PT of 96.00; up 0.7% to 88.10 in PreM trading #stocks #investing #tradeideas"")"
('2017-04-25 12:08:37'," ""RT @StockTwits: Wells Fargo JPM and Citi reported earnings today. Here's what the market thinks\n\n$JPM +0.3%\n$C -0.6%\n$WFC -2.5%\n\nhttps://t‰Û_"")"
('2017-04-25 12:05:03', '$JPM and $GS Goldman Sachs now top three investment banks in #Russia. Via @Forbes. Quick call Rachel Maddow! $RSX https://t.co/1rl5OzC9c1')
('2017-04-25 12:02:23', '$JPM Weekly wants $90 should see that this week _Ù_Ò#MobileTrader https://t.co/0XsCs9nkb7')
('2017-04-25 12:02:08', 'Benzinga: A Peek Into The Markets: U.S. Stock Futures Rise Ahead Of Earnings https://t.co/kchf7OLxOL $CAT $ANTM $ESRX $JBLU $LMT $JPM $SPY‰Û_')
('2017-04-25 12:00:03', 'A Peek Into The Markets: U.S. Stock Futures Rise Ahead Of Earnings https://t.co/67ZAipWgDs $CAT $ANTM $ESRX $JBLU $LMT $JPM $SPY $USO')
('2017-04-25 11:59:44'," ""$JPM JPMorgan Chase was upgraded to 'Buy' from 'Neutral' at Guggenheim with a price target of $96."")"
('2017-04-25 11:59:44'," ""$JPM JPMorgan Chase was upgraded to 'Buy' from 'Neutral' at Guggenheim with a price target of $96."")"
('2017-04-25 11:56:35'," ""JPMorgan Chase $JPM upgraded to 'Buy' from 'Neutral' at Guggenheim with a PT of 96.00; up 0.7% to 88.10 in PreM trading"")"
('2017-04-25 11:52:01', '$JPM    \n\nDJ JPMorgan Chase Raised to Buy From Neutral by Guggenheim\n\nTue Apr 25 07:44:21 2017 EDT')
('2017-04-25 11:34:05', '$JPM $WFC:\n\nBig Bank Earnings: There‰Ûªs More To It Than You Think This Quarter:\n\nhttps://t.co/DQrzVpzgvJ')
('2017-04-25 11:30:03', '$JPM $87.50 (+3.53%) being heavily traded.  Our #sentiment analysis tool gives you a pulse on the #market.  https://t.co/GvMdw1aUkZ')
('2017-04-25 11:29:34', '$JPM Upgraded to Buy @ Guggenheim')
('2017-04-25 11:27:17', 'JPMorgan Chase &amp; Co. upgraded by Guggenheim to buy. https://t.co/EVtkYWQzg2 $JPM #JPM')
('2017-04-25 11:25:44', 'JPMorgan Chase &amp; Co. upgraded by Guggenheim to buy. https://t.co/kDtZfym4qh $JPM #JPM')
('2017-04-25 11:22:30', 'JPMorgan Chase &amp; Co. upgraded by Guggenheim to buy. https://t.co/w0JJd6vL4S $JPM #JPM')
('2017-04-25 10:52:41', '$JPM upgraded to Buy from Neutral at Guggenheim')
('2017-04-25 10:51:33', 'Only firm market call included in site/ timeline---&gt; \n12/4 $JPM EUROPEAN OW call \nhttps://t.co/ORV7uT62DL  \n$FEZ‰Û_ https://t.co/vzzBmlJHYi')
('2017-04-25 10:07:16', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/yW3KsKobDH')
('2017-04-25 10:07:15', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/VyOBrdlEua')
('2017-04-25 10:07:15', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/f0WK4WW32y')
('2017-04-25 10:07:14', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/DiXdGYS9ju')
('2017-04-25 10:01:13', 'Weekly S&amp;P100 #Stocks Performance $DOW $DD $FDX $BA $MSFT $CAT $TXN $FOXA $FB $IBM $JPM $GD $PCLN $USB  more@ https://t.co/cKkr8cKsju')
('2017-04-25 10:00:55', 'Weekly Dow #Stocks Trend $DD $MSFT $CAT $INTC $MRK $BA $CSCO $AAPL $IBM $JPM $MCD $UNH $DIS $V $HD $TRV $AXP  @ https://t.co/TvzJfcJgPl')
('2017-04-25 09:55:23', 'ARS Investment Partners LLC Takes Position in JPMorgan Chase &amp; Co. $JPM https://t.co/P3aiaoJg7v')
('2017-04-25 09:55:22', 'American National Registered Investment Advisor Inc. Has $3732000 Position in JPMorgan Chase &amp; Co. $JPM https://t.co/QxP0VXFlwe')
('2017-04-25 09:52:24', 'Clough Capital Partners L P Sells 145520 Shares of JPMorgan Chase &amp; Co. $JPM https://t.co/pG1uxdhhTt')
('2017-04-25 09:52:23', 'JPMorgan Chase &amp; Co. $JPM Stake Increased by Capital Guardian Trust Co. https://t.co/Ftnw7p1tSl')
('2017-04-25 09:27:58', '$JPM: JPMorgan Chase &amp; Co. has lost a star now a 3 star stock. (https://t.co/uh98JBS9Pj)')
('2017-04-25 08:35:32', 'NASDAQ+1.24% at all time high; leads US relief rally as VIX‰ Ò-25.9%. FMCG‰ Ô.Tech bigs gain +1%+.DJIA SP500 +1.05%+. $JPM+3.5%.Gold Bonds fell')
('2017-04-25 08:13:31', 'RT @frbronfen: $JPM...ok\nDo you want implicit or explicit warranties ?\n#fanniegate https://t.co/XeaWoX9vA6')
('2017-04-25 07:44:25', 'JPMorgan Chase &amp; Co. $JPM Shares Bought by A.R.T. Advisors LLC https://t.co/u8o3Xc0MVn')
('2017-04-25 07:44:25', 'JPMorgan Chase &amp; Co. $JPM Shares Bought by A.R.T. Advisors LLC https://t.co/4vGdO1cgJv')
('2017-04-25 07:32:48', '$MS $JPM Trades for Monday Blog + $357 Profits https://t.co/UjuMXNgyCy')
('2017-04-25 07:16:44', '#Dow #stocks $JPM JPMorgan Chase Daily:0.21% Weekly:3.9% YTD:0.74% Trend:83 / 100  https://t.co/EovIb6YJsz')
('2017-04-25 06:51:29', 'Significant Large Cap #stock #gainers 24-Apr-2017 (5 of 18) #stocks: $FCH 7.92% $XLNX 5.13% $ITW 3.63% $BCR 19.5% $JPM 3.53%')
('2017-04-25 06:48:58', 'Fideres #investing #stocks Significant #gainers 24-Apr-2017 $JPM 3.53%. Contact Fideres to register for Daily‰Û_ https://t.co/roXalmExXr')
('2017-04-25 04:18:06', 'Earnings Growth Will Support Equities https://t.co/icaY1UQbSf $AXP $BAC $C $DIA $GS $JPM $MS $SPY $WFC $QQQ $SH $IWM $TZA $SSO $TNA $VOO')
('2017-04-25 04:15:40', 'RT @TheTradingNinja: $JPM holding Calls into Trump for weds... to much buying in the open market today ... $BAC $24C made a quick 150% from‰Û_')
('2017-04-25 04:15:39', 'JPMorgan Chase &amp; Co. $JPM Cut to ‰ÛÏBuy‰Ûù at Vetr Inc. https://t.co/7De7aBncI2')
('2017-04-25 04:15:38', 'JPMorgan Chase &amp; Co. $JPM Cut to ‰ÛÏBuy‰Ûù at Vetr Inc. https://t.co/lT4RCugFFG')
('2017-04-25 04:15:25', 'Earnings Growth Will Support Equities https://t.co/gv15M5QUjy $AXP $BAC $C $DIA $GS $JPM $MS $SPY $WFC $QQQ $SH $IWM $TZA $SSO $TNA $VOO')
('2017-04-25 04:15:24', 'Earnings Growth Will Support Equities https://t.co/JX5XTrW70S $AXP $BAC $C $DIA $GS $JPM $MS $SPY $WFC $QQQ $SH $IWM $TZA $SSO $TNA $VOO')
('2017-04-25 03:53:20', 'RT @AsifSuria: New post: Insider Weekends ‰ÛÒ Insiders at Wells Fargo Buy $5 Million Worth of Stock https://t.co/mJKhVQrwdg Buys: $WFC $JPM $‰Û_')
('2017-04-25 03:28:46', 'Highest Call/Put ratio vs OI. CALL: $JPM $SPY $CSCO $QQQ $MU $XLK $WFC. PUT: $SPY $INTC $QQQ $HAL $SBUX $GE $BABA ‰_Á‰Û_ https://t.co/oX8CANtQiq')
('2017-04-25 03:10:21', '#Breaking US to impose 20% tariff on Canada softwood lumber imports #stocks #WallStreet $GS $JPM $MS $WFC $BAC #DWTS https://t.co/CYaas4Y2OZ')
('2017-04-25 03:08:49', '$JPM Asia tracks French election rally; weak yen lifts Tokyo https://t.co/ouVZOjyfqK')
('2017-04-25 02:57:52', 'LIBOR Triple Damages Loom; Chart Shows How The Banks Won Bets   $BCS  $UBS  $BAC  $C  $CRP  $DB  $HSBC  $JPM  $RBS  https://t.co/XMQZh2Fr4t')
('2017-04-25 02:18:34', 'Bank of America Corp (BAC) Stock Clears Key Hurdle on French Election https://t.co/EPjULhVmew  $BAC $JPM $C #stock #banks #earnings #revenue')
('2017-04-25 02:17:43', 'Bank of America Corp (BAC) Stock Clears Key Hurdle on French Election https://t.co/dbhR0ZXTRQ  $BAC $JPM $C #stock‰Û_ https://t.co/JNnSPc50yN')
('2017-04-25 02:17:43', 'Bank of America Corp (BAC) Stock Clears Key Hurdle on French Election https://t.co/VQoM6Cu0GK  $BAC $JPM $C #stock‰Û_ https://t.co/YdMu0XvAZl')
('2017-04-25 02:09:04', '$JPM holding Calls into Trump for weds... to much buying in the open market today ... $BAC $24C made a quick 150% from .06')
('2017-04-25 01:42:50', 'RT @androsForm: Unusual Options Activity - 04.24.2017 - $CMA $CPN $AA $HD $EMN $SBUX $NEM $MCD $JPM $FSLR $FB https://t.co/uHIM0qqjT7')
('2017-04-25 01:42:49', 'RT @androsForm: Unusual Options Activity - 04.24.2017 - $CMA $CPN $AA $HD $EMN $SBUX $NEM $MCD $JPM $FSLR $FB https://t.co/uHIM0qqjT7')
('2017-04-25 01:42:39', 'RT @androsForm: Unusual Options Activity - 04.24.2017 - $CMA $CPN $AA $HD $EMN $SBUX $NEM $MCD $JPM $FSLR $FB https://t.co/uHIM0qqjT7')
('2017-04-25 01:42:37', 'RT @androsForm: Unusual Options Activity - 04.24.2017 - $CMA $CPN $AA $HD $EMN $SBUX $NEM $MCD $JPM $FSLR $FB https://t.co/uHIM0qqjT7')
('2017-04-25 01:42:33', 'RT @androsForm: Unusual Options Activity - 04.24.2017 - $CMA $CPN $AA $HD $EMN $SBUX $NEM $MCD $JPM $FSLR $FB https://t.co/uHIM0qqjT7')
('2017-04-25 01:42:27', 'RT @androsForm: Unusual Options Activity - 04.24.2017 - $CMA $CPN $AA $HD $EMN $SBUX $NEM $MCD $JPM $FSLR $FB https://t.co/uHIM0qqjT7')
('2017-04-25 01:42:17', 'RT @androsForm: Unusual Options Activity - 04.24.2017 - $CMA $CPN $AA $HD $EMN $SBUX $NEM $MCD $JPM $FSLR $FB https://t.co/uHIM0qqjT7')
('2017-04-25 01:42:06', 'RT @androsForm: Unusual Options Activity - 04.24.2017 - $CMA $CPN $AA $HD $EMN $SBUX $NEM $MCD $JPM $FSLR $FB https://t.co/uHIM0qqjT7')
('2017-04-25 01:41:50', 'RT @androsForm: Unusual Options Activity - 04.24.2017 - $CMA $CPN $AA $HD $EMN $SBUX $NEM $MCD $JPM $FSLR $FB https://t.co/uHIM0qqjT7')
('2017-04-25 01:41:27', 'RT @androsForm: Unusual Options Activity - 04.24.2017 - $CMA $CPN $AA $HD $EMN $SBUX $NEM $MCD $JPM $FSLR $FB https://t.co/uHIM0qqjT7')
('2017-04-25 01:36:25', '$GS  Bank stocks starting to show some strength today. \n\n$XLF $JPM $MS $BAC $C $JPM $WFC #trading #financial #stocks https://t.co/A97bq31gYZ')
('2017-04-25 01:32:46', 'RT @PortfolioBuzz: Trading indices? Check stories for the major constituents of #SP500 $CVX $PG $JPM https://t.co/Rwpf6Sogpu https://t.co/C‰Û_')
('2017-04-25 01:31:50', 'Trading indices? Check stories for the major constituents of #SP500 $CVX $PG $JPM https://t.co/Rwpf6Sogpu https://t.co/CSgCZndJB7')
('2017-04-25 01:30:21', 'Trump wants tax plan to cut corporate rate to 15%  https://t.co/vVA4j8f14e via @WSJ\n\n$AMZN $FB $GOOGL $NVDA $TSLA $DIS $JPM $BAC $XLF $GS')
('2017-04-25 01:20:27', 'Unusual Options Activity - 04.24.2017 - $CMA $CPN $AA $HD $EMN $SBUX $NEM $MCD $JPM $FSLR $FB https://t.co/uHIM0qqjT7')
('2017-04-25 01:01:02', 'Top #money flow today. Free stocks app https://t.co/5RPia7Qmp0\n$GDX $SPY $IWM $AAPL $EEM $IVV $EFA $IYR
('2017-04-25 00:58:34'," ""Would you rather keep the card you can't leave Home without or #ChaseWhatMatters so you can? \nhttps://t.co/3vsi4vMuNR\n$AXP $JPM"")"
('2017-04-25 00:17:07', 'RT @frbronfen: $JPM...ok\nDo you want implicit or explicit warranties ?\n#fanniegate https://t.co/XeaWoX9vA6')
('2017-04-25 00:11:27', 'RT @jpmorgan: Latest $JPM Insights: How to keep treasury agile in an evolving market landscape.  https://t.co/9H7P9xs7Ys')
('2017-04-24 23:45:23', '$JPM $BAC thanks again_ÙÔç')
('2017-04-24 23:28:21', '#BREAKING Nasdaq At New High; S&amp;P 500 Dow Rise Back Above Key Level $AA $CAT $GS $JPM https://t.co/u6GThIUvNY https://t.co/63VtFeUS1X')
('2017-04-24 23:14:37'," ""RT @ExactOptionPick: Don't miss our next FREE OPTION TRADE.  Sign up for our Daily Free Trades at https://t.co/78FVQDKYyw\n\n$NVDA $TSLA $GS‰Û_"")"
('2017-04-24 23:14:37'," ""RT @ExactOptionPick: Don't miss our next FREE OPTION TRADE.  Sign up for our Daily Free Trades at https://t.co/78FVQDKYyw\n\n$NVDA $TSLA $GS‰Û_"")"
('2017-04-24 23:14:23'," ""Don't miss our next FREE OPTION TRADE.  Sign up for our Daily Free Trades at https://t.co/78FVQDKYyw\n\n$NVDA $TSLA $GS $WYNN $JPM $GOOGL $FB"")"
('2017-04-24 23:02:38', 'Will definitely revisit $JPM if not tomorrow then after the D.C. drama is over. Bullish crossover on daily MACD + May-June call sweeps.')
('2017-04-24 22:50:11'," ""Would've loved to re-scalp $JPM 4/28 $87 calls again after my morning scalp from .59 to .86. Nice bull flag breaks got calls up to HOD 1.29"")"
('2017-04-24 22:50:00', '$JPM is in MACD Golden Cross winning 70.18% in the past. https://t.co/uPENgTJWHP')
('2017-04-24 22:45:06', 'RT @DDCapitalFund: $JPM breaking the down trendline off the March top https://t.co/zIAF3C4N3H')
('2017-04-24 22:40:05', 'Globally Stocks Rally Following French Election - https://t.co/FnsWtB9X64\n$SPY $DIA $QQQ $USO $JPM $PM #stocks‰Û_ https://t.co/P0t1RPq36V')
('2017-04-24 21:51:03'," ""$JPM Downtredn break and run. Huge May and June Call buying in the name. I'm very long. https://t.co/ekcuaZXgg5"")"
