('2017-05-01 15:57:03', '$JPM:\n\nNew SEC Filing for JPM: Form 424B2 (No. 0001140361-17-017485):\n\nhttps://t.co/HWuO6Z6wHh')
('2017-05-01 09:53:49', 'Numeric Investors LLC Buys 4700 Shares of JPMorgan Chase &amp; Co. $JPM https://t.co/teMq8oLh75')
('2017-05-01 09:53:47', 'Comprehensive Portfolio Management LLC Purchases Shares of 7309 JPMorgan Chase &amp; Co. $JPM https://t.co/zVmmLuB6vd')
('2017-05-01 09:52:56', 'JPMorgan Chase &amp; Co. $JPM Shares Sold by Westwood Holdings Group Inc. https://t.co/VQe9KFgbXD')
('2017-05-01 09:38:38', 'YTD performance of US bank stocks $BAC is up 5.6% outperforming $WFC $USB $C $JPM $GS #trading https://t.co/K0K8MN4c7A')
('2017-05-01 09:37:48', 'JPMorgan Chase &amp; Co. $JPM Position Raised by Hilltop Holdings Inc. https://t.co/FsHUmnXIbq')
('2017-05-01 09:37:47', 'Endeavour Capital Advisors Inc. Decreases Stake in JPMorgan Chase &amp; Co. $JPM https://t.co/63Py4n2eV2')
('2017-05-01 08:53:26', 'RT @marketexclusive: JPMorgan Chase &amp; Co. (NYSE:JPM) announces a quarterly dividend of \xa0$0.50 https://t.co/1IXE3D0QHJ $JPM')
('2017-05-01 08:50:14', '15000 Shares in JPMorgan Chase &amp; Co. $JPM Acquired by Caxton Associates LP https://t.co/LIMn3P0gaV')
('2017-05-01 08:50:14', '15000 Shares in JPMorgan Chase &amp; Co. $JPM Acquired by Caxton Associates LP https://t.co/EvUJdR5C12')
('2017-05-01 08:48:53', 'RT @marketexclusive: JPMorgan Chase &amp; Co. (NYSE:JPM) announces a quarterly dividend of \xa0$0.50 https://t.co/1IXE3D0QHJ $JPM')
('2017-05-01 08:43:30', 'RT @marketexclusive: JPMorgan Chase &amp; Co. (NYSE:JPM) announces a quarterly dividend of \xa0$0.50 https://t.co/1IXE3D0QHJ $JPM')
('2017-05-01 08:37:15', 'Guggenheim Upgrades JPMorgan Chase &amp; Co. $JPM to Buy https://t.co/QZ0rBF1KMH')
('2017-05-01 08:23:15', 'JPMorgan Chase &amp; Co. $JPM Stock Rating Upgraded by Vining Sparks https://t.co/Y0cXyUCty1')
('2017-05-01 07:57:23', 'JPMorgan Chase &amp; Co. $JPM Stake Increased by Tudor Investment Corp Et Al https://t.co/gbUhEB4SWT')
('2017-05-01 07:57:23', 'JPMorgan Chase &amp; Co. $JPM Stake Increased by Tudor Investment Corp Et Al https://t.co/ZpGu3phFPG')
('2017-05-01 07:55:29', 'RT @marketexclusive: JPMorgan Chase &amp; Co. (NYSE:JPM) announces a quarterly dividend of \xa0$0.50 https://t.co/1IXE3D0QHJ $JPM')
('2017-05-01 07:48:39', 'RT @VistaPResearch: @DrKim4Health thanks for follow! See Vista Partners Covering #Dow30 #EmergingGrowth #Fintech https://t.co/1x6MLaGp0d $D‰Û_')
('2017-05-01 07:44:41', 'NovoCure Ltd Gets a Buy Rating from J.P. Morgan $NVCR $JPM https://t.co/O1yIiTFijm')
('2017-05-01 06:52:13', 'RT @PortfolioBuzz: Trading indices? Check stories for the major constituents of #SP500 $CVX $PG $JPM https://t.co/Rwpf6Sogpu https://t.co/W‰Û_')
('2017-05-01 06:47:59', 'Trading indices? Check stories for the major constituents of #SP500 $CVX $PG $JPM https://t.co/Rwpf6Sogpu https://t.co/WmUT8YgDmu')
('2017-05-01 06:44:44', 'RT @marketexclusive: JPMorgan Chase &amp; Co. (NYSE:JPM) announces a quarterly dividend of \xa0$0.50 https://t.co/1IXE3D0QHJ $JPM')
('2017-05-01 06:26:18', 'RT @marketexclusive: JPMorgan Chase &amp; Co. (NYSE:JPM) announces a quarterly dividend of \xa0$0.50 https://t.co/1IXE3D0QHJ $JPM')
('2017-05-01 06:19:16', 'MSD Partners L.P. Sells 175000 Shares of JPMorgan Chase &amp; Co. $JPM https://t.co/WTiR92CPSP')
('2017-05-01 05:38:14', 'RT @marketexclusive: JPMorgan Chase &amp; Co. (NYSE:JPM) announces a quarterly dividend of \xa0$0.50 https://t.co/1IXE3D0QHJ $JPM')
('2017-05-01 05:31:33', 'JPMorgan Chase &amp; Co. $JPM Posts Earnings Results Beats Expectations By $0.13 EPS https://t.co/vwCZipvCdQ')
('2017-05-01 05:31:32', 'JPMorgan Chase &amp; Co. $JPM Posts Earnings Results Beats Expectations By $0.13 EPS https://t.co/A7WyB96iN5')
('2017-05-01 05:25:56', 'RT @marketexclusive: JPMorgan Chase &amp; Co. (NYSE:JPM) announces a quarterly dividend of \xa0$0.50 https://t.co/1IXE3D0QHJ $JPM')
('2017-05-01 05:25:56', 'RT @marketexclusive: JPMorgan Chase &amp; Co. (NYSE:JPM) announces a quarterly dividend of \xa0$0.50 https://t.co/1IXE3D0QHJ $JPM')
('2017-05-01 05:25:55', 'RT @marketexclusive: JPMorgan Chase &amp; Co. (NYSE:JPM) announces a quarterly dividend of \xa0$0.50 https://t.co/1IXE3D0QHJ $JPM')
('2017-05-01 05:25:55', 'RT @marketexclusive: JPMorgan Chase &amp; Co. (NYSE:JPM) announces a quarterly dividend of \xa0$0.50 https://t.co/1IXE3D0QHJ $JPM')
('2017-05-01 05:25:51', 'RT @marketexclusive: JPMorgan Chase &amp; Co. (NYSE:JPM) announces a quarterly dividend of \xa0$0.50 https://t.co/1IXE3D0QHJ $JPM')
('2017-05-01 05:25:46', 'RT @marketexclusive: JPMorgan Chase &amp; Co. (NYSE:JPM) announces a quarterly dividend of \xa0$0.50 https://t.co/1IXE3D0QHJ $JPM')
('2017-05-01 05:25:45', 'RT @marketexclusive: JPMorgan Chase &amp; Co. (NYSE:JPM) announces a quarterly dividend of \xa0$0.50 https://t.co/1IXE3D0QHJ $JPM')
('2017-05-01 05:25:41', 'RT @marketexclusive: JPMorgan Chase &amp; Co. (NYSE:JPM) announces a quarterly dividend of \xa0$0.50 https://t.co/1IXE3D0QHJ $JPM')
('2017-05-01 05:25:40', 'RT @marketexclusive: JPMorgan Chase &amp; Co. (NYSE:JPM) announces a quarterly dividend of \xa0$0.50 https://t.co/1IXE3D0QHJ $JPM')
('2017-05-01 05:23:27', 'JPMorgan Chase &amp; Co. (NYSE:JPM) announces a quarterly dividend of \xa0$0.50 https://t.co/1IXE3D0QHJ $JPM')
('2017-05-01 04:37:31', 'Endeavour Capital Advisors Inc. Decreases Position in JPMorgan Chase &amp; Co. $JPM https://t.co/3CGYrHQiER')
('2017-05-01 04:20:58', 'Banking index sorted by position within 52 week range. $BKX $CFR $C $BK $BAC $SIT $JPM $PNC $KRE $CBSH $USB $FITB‰Û_ https://t.co/14qtYi3MqX')
('2017-05-01 04:08:08', '$SNE #SONY  ready for #analysts #upgrades https://t.co/tEL5sybCh6 $BNS $JPM $MS $GS $BAC $WFC $RBC $C $RJF $EVR‰Û_ https://t.co/AdTd5hloVC')
('2017-05-01 02:25:38', 'RT @Connor_Leonard: Reading three of the best shareholder letters out there today  $CSU $CACC $JPM https://t.co/M6CvuCaJNq')
('2017-05-01 01:59:58', '@sativamagazine thanks for follow! All the best in 2017! See Vista Partners #Investing #fintech #dow30‰Û_ https://t.co/3zbPux6TS2')
('2017-05-01 01:52:14', 'RT @IBMpolicy: A look at how the partnership btwn @IBM &amp; $JPM has positively impacted communities from Brazil to India to Detroit https://t‰Û_')
('2017-05-01 01:47:44', '@TheTradingNinja That $JPM though $ #props yo')
('2017-05-01 01:43:14', 'JPMorgan Chase &amp; Co. $JPM Position Increased by Tudor Investment Corp Et Al https://t.co/mSjYhWm0pt')
('2017-05-01 01:28:03', '$CAT $BAC $JPM $MS:\n\nHere‰Ûªs why earnings are so outstanding even while the US economy ‰Û_:\n\nhttps://t.co/8Qf9HuBm2w')
('2017-05-01 00:45:43', '@bobbowman14 @MarketWatch Americans are addicted to debt. Long $JPM.')
('2017-04-30 23:43:36', 'Just got a dividend payment for $JPM ... love getting paid on Sundays!')
('2017-04-30 23:20:58', 'RT @bfsi_financial: #JPMorganChase #organChase &amp; Co leaves blockchain consortium R3 -sources. Read more: https://t.co/9pKglEl8gf $JPM')
('2017-04-30 23:01:11'," ""#JPMorganChase #organChase's 1M SF campus in Plano's Legacy West reaches a new limit. Read more: https://t.co/Tz3otGEatl $JPM"")"
('2017-04-30 23:00:34', '#JPMorganChase #organChase &amp; Co leaves blockchain consortium R3 -sources. Read more: https://t.co/9pKglEl8gf $JPM')
('2017-04-30 22:59:57', '#JPMorganChase MOVES-organ hires Goldman execs to beef up Australia operations. Read more: https://t.co/SeKXAK08c8 $JPM')
('2017-04-30 22:59:20', '#JPMorganChase BRIEF-Motorola Solutions enters into revolving credit agreement with #organCh... Read more: https://t.co/9xmdc7elAN $JPM')
('2017-04-30 22:33:56'," ""Liar's Poker by Michael Lewis: https://t.co/b8y3x8Enn1 $WFM $JPM $C $AAPL $TSLA $NFLX $SPY"")"
('2017-04-30 22:09:23', 'JPMorgan Chase &amp; Co. $JPM Earning Somewhat Positive Press Coverage Analysis Shows https://t.co/VTK97PF56B')
('2017-04-30 22:08:39', 'JPMorgan Chase &amp; Co. $JPM Earning Somewhat Positive Press Coverage Analysis Shows https://t.co/secGhORzPB')
('2017-04-30 22:07:19', 'JPMorgan Chase &amp; Co. $JPM Earning Somewhat Positive Press Coverage Analysis Shows https://t.co/2cVcrfoVZK')
('2017-04-30 22:05:44', 'JPMorgan Chase &amp; Co. $JPM Earning Somewhat Positive Press Coverage Analysis Shows https://t.co/LOMB9OVPlY')
('2017-04-30 22:02:46', 'With $8.3B in S/T Debt &amp; Maturities by 2021. $IBM Sh Repurchases at RISK! $BRK $IeP $CRM $MSFT $fb $TWTR $KO $PeP‰Û_ https://t.co/eqTy3XBOU6')
('2017-04-30 21:10:49'," ""No Worries. We Didn't Need to See All The $IBM Systems Numbers! $BRK $IeP $CRM $MSFT $fb $TWTR $KO $PeP $GOOG $BABA‰Û_ https://t.co/aautYMGqzS"")"
('2017-04-30 20:45:47'," ""Have decided to swap out $PCLN for $JPM in my trade list. Love $PCLN but I guess not enough b/c I've only traded it 3x this year"")"
('2017-04-30 19:55:49', 'RT @tradewithjoe: We are shorting pops in banks. $JPM $C $WFC $GS $MS $XLF Part of our theme trade we have. https://t.co/BlwpeBEZHf')
('2017-04-30 18:59:50', 'We are shorting pops in banks. $JPM $C $WFC $GS $MS $XLF Part of our theme trade we have. https://t.co/BlwpeBEZHf')
('2017-04-30 18:52:38'," ""RT @jpmorgan: Explore how $JPM's Depositary Receipts team has helped foreign companies grow over the last 90 years: https://t.co/pUARZHjUOe‰Û_"")"
('2017-04-30 18:16:37', 'What do the top 50 asset managers really think of the future and do their trades reflect it? https://t.co/eeUQsTynmV $JPM $GS $UBS $CS $db')
('2017-04-30 18:09:57', 'In the investment banking technology space $GS followed by $JPM always ahead of the pack. This is stunning! #AI‰Û_ https://t.co/Hp5P4GDsSk')
('2017-04-30 16:36:28', 'RT @InvestorHangout: Hot Stocks $AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM $TSLA $CDII $PUPS \n\nhtt‰Û_')
('2017-04-30 16:12:41', 'Grow your wealth with @ProfectuSystems trading models. $AAPL $AMZN $NFLX $GOOGL $TSLA $MSFT $VIX $SPY $VXX $UVXY $IBM $WFC $JPM $C $GS')
('2017-04-30 15:42:13'," ""#JPMorganChase #organChase's Customer Satisfaction Scores Aren't What You'd Expect. Read more: https://t.co/qHd3QxZClH $JPM"")"
('2017-04-30 13:50:05', '$JPM JPMorgan Chase&amp;apos;s Customer Satisfaction Scores Aren&amp;apos;t What You&amp;apos;d... https://t.co/pOGL2Jz0Uh')
('2017-04-30 13:36:46', 'RT @PortfolioBuzz: Trading indices? Check stories for the major constituents of #SP500 $CVX $PG $JPM https://t.co/Rwpf6Sogpu https://t.co/c‰Û_')
('2017-04-30 13:33:11', 'Trading indices? Check stories for the major constituents of #SP500 $CVX $PG $JPM https://t.co/Rwpf6Sogpu https://t.co/cemqZBHF0G')
('2017-04-30 13:32:05', '$JPM:\n\nJPMorgan Chase‰Ûªs Customer Satisfaction Scores Aren‰Ûªt What You‰Ûªd ‰Û_:\n\nhttps://t.co/5pbog2vJcE')
('2017-04-30 13:20:12', '[WSJ] Hensarling bill to repeal Dodd-Frank could unlock $200B in bank capital.\nhttps://t.co/9XxrKxk2cm\n$C $BAC $JPM‰Û_ https://t.co/zUQhXApE74')
('2017-04-30 12:44:25', 'RT @InvestorHangout: Hot Stocks $AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM $TSLA $CDII $PUPS \n\nhtt‰Û_')
('2017-04-30 11:47:36', 'JPMorgan Chase &amp; Co. $JPM Stake Raised by Tortoise Investment Management LLC https://t.co/bCHLTlzeT3')
('2017-04-30 11:46:58', 'Thrivent Financial for Lutherans Has $10.864 Million Stake in JPMorgan Chase &amp; Co. $JPM https://t.co/NIMHwwlH4h')
('2017-04-30 11:46:57', 'Thrivent Financial for Lutherans Has $10.864 Million Stake in JPMorgan Chase &amp; Co. $JPM https://t.co/fyOkaECK83')
('2017-04-30 11:46:12', 'JPMorgan Chase &amp; Co. $JPM Position Cut by Fortaleza Asset Management Inc. https://t.co/07Aqv0XilI')
('2017-04-30 11:46:12', 'JPMorgan Chase &amp; Co. $JPM Position Cut by Fortaleza Asset Management Inc. https://t.co/tBL9AaBcGw')
('2017-04-30 11:45:37', 'Pittenger &amp; Anderson Inc. Acquires 825 Shares of JPMorgan Chase &amp; Co. $JPM https://t.co/GXJGgbm6FQ')
('2017-04-30 11:33:09', 'PRO Weekly Digest: All About Banks With Harvard Winters $TGD $GFI $WFC $STON $LIMAF $JPM $ONDK‰Û_‰Û_ https://t.co/XGm7vEcOb0')
('2017-04-30 11:32:01', '$JPM:\n\nPRO Weekly Digest: All About Banks With Harvard Winters:\n\nhttps://t.co/AahSnuIua3')
('2017-04-30 11:31:05', 'PRO Weekly Digest: All About Banks With Harvard Winters https://t.co/YoehNW7KxD $TGD $GFI $WFC $STON $LIMAF $JPM $ONDK $LC $GS $TFSL $HONE')
('2017-04-30 11:30:07', 'PRO Weekly Digest: All About Banks With Harvard Winters https://t.co/WwogPN7a9o $TGD $GFI $WFC $STON $LIMAF $JPM $ONDK $LC $GS $TFSL $HONE')
('2017-04-30 10:45:18'," ""#JPMorganChase organ beats Madoff customers' appeal. Read more: https://t.co/TWAfp8LloC $JPM"")"
('2017-04-30 10:44:40', '#JPMorganChase EOD Risers: Caterpillar Inc. Home Depot Inc Intel Corporation Johnson &amp; Jo... Read more: https://t.co/6ajj1cLv1Y $JPM')
('2017-04-30 10:01:42', 'RT @TheTradingNinja: Weekly Stats: $BAC $DB $JPM $ABT $MDT $AMD $FCX $SCHW $QCOM $BAX $QCOM $ATVI $CVS Goal: Take what the market gives and‰Û_')
('2017-04-30 09:52:13', 'JPMorgan Chase &amp; Co. $JPM Position Cut by Fortaleza Asset Management Inc. https://t.co/qTXF0fCxg8')
('2017-04-30 09:48:27', 'JPMorgan Chase &amp; Co. $JPM Stake Raised by Tortoise Investment Management LLC https://t.co/9AZhMXAFOE')
('2017-04-30 09:41:55', 'RT @InvestorHangout: Hot Stocks $AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM $TSLA $CDII $PUPS \n\nhtt‰Û_')
('2017-04-30 09:26:52', '#JPMorganChase #organChase &amp; Co leaves blockchain consortium R3. Read more: https://t.co/rgR9bgFPVy $JPM')
('2017-04-30 07:51:39', 'Brokerages Anticipate JPMorgan Chase &amp; Co. $JPM to Post $1.62 Earnings Per Share https://t.co/luMU1GRW7c')
('2017-04-30 07:51:39', 'Brokerages Anticipate JPMorgan Chase &amp; Co. $JPM to Post $1.62 Earnings Per Share https://t.co/U3HhVUMekK')
('2017-04-30 07:39:47', 'RT @InvestorHangout: Hot Stocks $AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM $TSLA $CDII $PUPS \n\nhtt‰Û_')
('2017-04-30 06:38:07', 'RT @InvestorHangout: Hot Stocks $AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM $TSLA $CDII $PUPS \n\nhtt‰Û_')
('2017-04-30 06:35:46', 'RT @InvestorHangout: Hot Stocks $AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM $TSLA $CDII $PUPS \n\nhtt‰Û_')
('2017-04-30 06:23:46', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 06:23:39', 'RT @platinumstock: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
