('2017-04-26 23:55:56', 'Market Commentary For Thursday Apr 27 $JPM $ORLY $BA $WTW $NFLX $IRBT $DECK
('2017-04-26 17:59:31', 'JPMorgan Chase &amp; Co. $JPM Shares Bought by Fiera Capital Corp https://t.co/HHkjQC2jvy')
('2017-04-26 17:57:56', 'RT @jpmorgan: Mapping developing areas can have a lasting impact. See how $JPM employees participate in the Missing Maps program. https://t‰Û_')
('2017-04-26 17:57:26', 'Mnuchin Cohn Kushner - The Incredibly Evil Khazarian Mafia $GS $MS $JPM $BAC $WFC $C _Ù_©https://t.co/r7h9SVIudW‰Û_ https://t.co/BpKYbLf4g3')
('2017-04-26 17:55:37', 'RT @KimbleCharting: $EFA stronger than banks for past 6-weeks testing key breakout level. $SPY $XLF $JPM $BAC https://t.co/SymkjQnebk')
('2017-04-26 17:55:16', '#Breaking Treasury Secretary Mnuchin : Corporate #Tax Rate from 35% to 15% #stocks #WallStreet $GS $JPM $MS $C $WFC $BAC $BX $BLK #AlienDay')
('2017-04-26 17:46:04', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/rcLieW6esD')
('2017-04-26 17:45:01', '$JPM reimagined its approach to #philanthropy. Inclusive growth = effective #workforce training https://t.co/I9YXPXe0uS @JPMorgan @Chase')
('2017-04-26 17:44:22', '$JPM $BAC $GS $C BOOM goes the dynamite! This was too easy...')
('2017-04-26 17:35:16', '$C current P/B ratio of 0.74 is a discount to peers $WFC $JPM $BAC and historical average #stocks #investing‰Û_ https://t.co/gW91endtvA')
('2017-04-26 17:34:02', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/GT6bv9Yh3B')
('2017-04-26 17:30:27', 'Girard Securities Inc. Takes Position in JPMorgan Chase &amp; Co. $JPM https://t.co/PVud0YIlV4')
('2017-04-26 17:30:26', 'Girard Securities Inc. Takes Position in JPMorgan Chase &amp; Co. $JPM https://t.co/r7mQvMv5az')
('2017-04-26 17:21:53', 'Reading three of the best shareholder letters out there today  $CSU $CACC $JPM https://t.co/M6CvuCaJNq')
('2017-04-26 17:19:29', '$PYPL who use $-Tickers of famous companys like $AMZN $FB $TSLA $MSFT $GS $MCD $JPM  on $TWTR have statistically more $FLWR TrueStory')
('2017-04-26 17:19:01', '$GS Continues giving nice additional gains. More https://t.co/G9JwueHEGQ\n\n$XLF $BAC $MS $JPM #trading #financial #stocks #win #livetradepro')
('2017-04-26 17:17:18', 'Each Day #JPMorgan Adds #Silver Bullion To Its Holdings $SLV Also $JPM https://t.co/O15xsaisfJ')
('2017-04-26 17:05:49', '@Africanadian $XLF owns less than half as much $JPM as Vanguard Total Stock Market Index.')
('2017-04-26 17:00:28', '$JPM and $GS surge to top 3 investment banks in #Russia via @forbes https://t.co/LNnQlyf0IL $RSX')
('2017-04-26 16:57:13', 'Stock Traders Purchase High Volume of Call Options on JPMorgan Chase &amp; Co. $JPM https://t.co/r8uWmNmXZF')
('2017-04-26 16:45:24', 'RT @DozenStocks: Dow #Stocks Trend $MSFT $CAT $INTC $MRK $DD $BA $CSCO $AAPL $IBM $MCD $JPM $DIS $UNH $V $HD $TRV $MMM $AXP $GS  @ https://‰Û_')
('2017-04-26 16:35:20', 'RT @jpmorgan: Just released: the annual $JPM Corporate Responsibility Report. Read about a year of impact. https://t.co/xqDMtPWSTz')
('2017-04-26 16:34:04', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/Yf3GGyjTxf')
('2017-04-26 16:32:10', 'MUST READ: A Pump And Trump Short Squeeze Play: https://t.co/ZihIz3fCKM $AAPL $SPY $JNJ $JPM $BA $GS $ORCL $MU $SIRI $MMM')
('2017-04-26 16:21:08', '$SNE #SONY reports Friday April 28th get ready for #analysts #upgrades https://t.co/tEL5sybCh6 $JPM $MS $GS $BAC‰Û_ https://t.co/q8wPcD483u')
('2017-04-26 16:14:59', 'RT @jpmorgan: Just released: the annual $JPM Corporate Responsibility Report. Read about a year of impact. https://t.co/xqDMtPWSTz')
