('2017-04-26 23:55:56', 'Market Commentary For Thursday Apr 27 $JPM $ORLY $BA $WTW $NFLX $IRBT $DECK
('2017-04-26 21:06:26', 'Iberiabank Corp Has $6.219 Million Position in JPMorgan Chase &amp; Co. $JPM https://t.co/sj3fBs8W2i')
('2017-04-26 21:06:25', 'Iberiabank Corp Has $6.219 Million Position in JPMorgan Chase &amp; Co. $JPM https://t.co/hV00sC72qh')
('2017-04-26 20:44:34', 'Is $JPM breaking out? Take a quick look at https://t.co/oqoi1ktjiU! #Apps #Travel')
('2017-04-26 20:44:11', 'RT @StockTwits: How 47 banks turned into 4. And in just 20 years.\n\nGreat share by: https://t.co/ZCNgzNLHSX\n\n$JPM $WFC $C $BAC https://t.co/â€_')
('2017-04-26 20:38:34', 'How does $JPM approach effective philanthropy? To start: work the problem. Check out its CR Report out today â†’â€_ https://t.co/qe2woZP467')
('2017-04-26 20:24:33', '$JPM Todays trading with JPMorgan Chase &amp; Co. for $88.43 on date April 26 2017. #Finance')
('2017-04-26 20:19:09', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/iYSFGh3XkG')
('2017-04-26 20:04:36', 'JPMorgan Chase &amp; Co. $JPM Upgraded by Guggenheim to â€œBuyâ€ù https://t.co/VbDqBstTvq')
('2017-04-26 20:03:12', 'JPMorgan Chase &amp; Co. $JPM Upgraded by Guggenheim to â€œBuyâ€ù https://t.co/KgEtFh7nzJ')
('2017-04-26 20:01:03', 'JPMorgan Chase &amp; Co. $JPM is Davis Selected Advisersâ€™ 2nd Largest Position https://t.co/a9qIdmd0HA')
('2017-04-26 19:52:10', 'These 4 Banks Paid $33 Billion in Taxes Over the Past Year https://t.co/yTqbE7lUGJ $BAC $WFC $JPM')
('2017-04-26 19:48:24'," ""RT @jpmorgan: $JPM's CR initiatives take a data-driven strategic approach to creating lasting impact in our communities. https://t.co/Edygâ€_"")"
('2017-04-26 19:48:18', '$SPY $BAC $GS $JPM $AAPL $FB $AMZN Market moving lower based on the NAFTA chatter. I think the Trump admin is just testing the idea.')
('2017-04-26 19:44:58', 'RT @USChamber: $JPM released its annual Corporate Responsibility Report detailing its philanthropic model. Read more: https://t.co/C40fZYKâ€_')
('2017-04-26 19:43:57', 'RT @USChamber: $JPM released its annual Corporate Responsibility Report detailing its philanthropic model. Read more: https://t.co/C40fZYKâ€_')
('2017-04-26 19:39:28', 'RT @jpmorgan: Just released: the annual $JPM Corporate Responsibility Report. Read about a year of impact. https://t.co/xqDMtPWSTz')
('2017-04-26 19:37:06', '$JPM released its annual Corporate Responsibility Report detailing its philanthropic model. Read more:â€_ https://t.co/yYdACU0WqK')
('2017-04-26 19:31:40', '$PLSE $GE $JPM Among 5 Stocks Insiders Love https://t.co/TOh2Tvdo9m via @TheStreet')
('2017-04-26 19:22:43'," ""$JPM's CR initiatives take a data-driven strategic approach to creating lasting impact in our communities. https://t.co/TlLVq5bXjh"")"
('2017-04-26 19:15:02'," ""$JPM's CR initiatives take a data-driven strategic approach to creating lasting impact in our communities. https://t.co/EdygIFpt0n"")"
('2017-04-26 19:14:39', 'Very strong performance from $JPM this week. Added position from 1 week ago has cashed very nicely. Looking for $100 PT. #StockMarket')
('2017-04-26 19:11:52', '$JPM These 4 Banks Paid $33 Billion in Taxes Over the Past Year https://t.co/cj19Dx7NTi')
('2017-04-26 19:05:29', 'RT @androsForm: $JPM [bta] SEP18 $92.5 Cs @ 1.56 | Averaged Down')
('2017-04-26 19:05:27', 'RT @USChamber: $JPM reimagined its approach to philanthropy to create lasting results. Learn more in the firmâ€™s new CR Report: https://t.coâ€_')
('2017-04-26 19:04:22', '$JPM reimagined its approach to philanthropy to create lasting results. Learn more in the firmâ€™s new CR Report:â€_ https://t.co/nNRnLlI6Kl')
('2017-04-26 18:55:48'," '@Connor_Leonard $JPM was particularly impressive (IMO). The chart on page 7 of the letter (""Client Franchises Builtâ€_ https://t.co/ZwcNykIFCT')"
('2017-04-26 18:55:16', 'RT @Connor_Leonard: Reading three of the best shareholder letters out there today  $CSU $CACC $JPM https://t.co/M6CvuCaJNq')
('2017-04-26 18:52:01', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/0UfjQH8EHQ')
('2017-04-26 18:48:56', 'Too Big to Fail by Andrew Ross Sorkin: https://t.co/XzYLkuL2ha $SPY $VIX $C $JPM $WFC $GS $AIG $CS $MS $FNMA $BAC')
('2017-04-26 18:46:06', '$JPM $BAC $WFC $C:\n\nThese 4 Banks Paid $33 Billion in Taxes Over the Past Year:\n\nhttps://t.co/G6p12tOB5z')
('2017-04-26 18:40:12', '$JPM [bta] SEP18 $92.5 Cs @ 1.56 | Averaged Down')
('2017-04-26 18:33:50', '$JPM 4-day prediction $88.80 Found Not Liable in Madoff Clients Case; from headlines at https://t.co/GHgDhWVZKy https://t.co/oZcU2dAfO9')
('2017-04-26 18:29:11', 'RT @jpmorgan: $JPM employees are helping to create more widely shared economic opportunities for women &amp; refugees this City Giving Day #CGDâ€_')
('2017-04-26 18:23:41', 'â€œCreating economic opportunity must be an imperative for all of usâ€ù â€“ Peter Scher Head of CR for $JPM. Read more: https://t.co/aUTfrsmwhS')
('2017-04-26 18:21:10', 'RT @jpmorgan: Just released: the annual $JPM Corporate Responsibility Report. Read about a year of impact. https://t.co/xqDMtPWSTz')
('2017-04-26 18:16:03', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/puRwQYQA4H')
('2017-04-26 18:14:00', 'REPORT: #Fed looks to restructure big bank supervision panel: https://t.co/cbirm900Jv $GS $BAC $C $WFC $JPM $MSâ€_ https://t.co/zfN5Fn9T5C')
('2017-04-26 18:10:04', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/noxgJdCZkR')
('2017-04-26 18:06:47', 'The future of retail service. $JPM https://t.co/gvYisHBF2H')
('2017-04-26 18:05:25', 'RT @notyourcountry: Mnuchin Cohn Kushner - The Incredibly Evil Khazarian Mafia $GS $MS $JPM $BAC $WFC $C _Ÿ_©https://t.co/r7h9SVIudW @MartaKâ€_')
('2017-04-26 18:03:55'," 'Took a ""lesser loss"" on $JPM weekly $89 calls on the ""bounce"" this morning. Now see that they went back to nearly even at HOD. #TradingLife')"
('2017-04-26 17:59:32', 'JPMorgan Chase &amp; Co. $JPM Shares Bought by Fiera Capital Corp https://t.co/7vR1LdVdFL')
('2017-04-26 17:59:31', 'JPMorgan Chase &amp; Co. $JPM Shares Bought by Fiera Capital Corp https://t.co/HHkjQC2jvy')
('2017-04-26 17:57:56', 'RT @jpmorgan: Mapping developing areas can have a lasting impact. See how $JPM employees participate in the Missing Maps program. https://tâ€_')
('2017-04-26 17:57:26', 'Mnuchin Cohn Kushner - The Incredibly Evil Khazarian Mafia $GS $MS $JPM $BAC $WFC $C _Ÿ_©https://t.co/r7h9SVIudWâ€_ https://t.co/BpKYbLf4g3')
('2017-04-26 17:55:37', 'RT @KimbleCharting: $EFA stronger than banks for past 6-weeks testing key breakout level. $SPY $XLF $JPM $BAC https://t.co/SymkjQnebk')
('2017-04-26 17:55:16', '#Breaking Treasury Secretary Mnuchin : Corporate #Tax Rate from 35% to 15% #stocks #WallStreet $GS $JPM $MS $C $WFC $BAC $BX $BLK #AlienDay')
('2017-04-26 17:46:04', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/rcLieW6esD')
('2017-04-26 17:45:01', '$JPM reimagined its approach to #philanthropy. Inclusive growth = effective #workforce training https://t.co/I9YXPXe0uS @JPMorgan @Chase')
('2017-04-26 17:44:22', '$JPM $BAC $GS $C BOOM goes the dynamite! This was too easy...')
('2017-04-26 17:35:16', '$C current P/B ratio of 0.74 is a discount to peers $WFC $JPM $BAC and historical average #stocks #investingâ€_ https://t.co/gW91endtvA')
('2017-04-26 17:34:02', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/GT6bv9Yh3B')
('2017-04-26 17:30:27', 'Girard Securities Inc. Takes Position in JPMorgan Chase &amp; Co. $JPM https://t.co/PVud0YIlV4')
('2017-04-26 17:30:26', 'Girard Securities Inc. Takes Position in JPMorgan Chase &amp; Co. $JPM https://t.co/r7mQvMv5az')
('2017-04-26 17:21:53', 'Reading three of the best shareholder letters out there today  $CSU $CACC $JPM https://t.co/M6CvuCaJNq')
('2017-04-26 17:19:29', '$PYPL who use $-Tickers of famous companys like $AMZN $FB $TSLA $MSFT $GS $MCD $JPM  on $TWTR have statistically more $FLWR TrueStory')
('2017-04-26 17:19:01', '$GS Continues giving nice additional gains. More https://t.co/G9JwueHEGQ\n\n$XLF $BAC $MS $JPM #trading #financial #stocks #win #livetradepro')
('2017-04-26 17:17:18', 'Each Day #JPMorgan Adds #Silver Bullion To Its Holdings $SLV Also $JPM https://t.co/O15xsaisfJ')
('2017-04-26 17:05:49', '@Africanadian $XLF owns less than half as much $JPM as Vanguard Total Stock Market Index.')
('2017-04-26 17:00:28', '$JPM and $GS surge to top 3 investment banks in #Russia via @forbes https://t.co/LNnQlyf0IL $RSX')
('2017-04-26 16:57:13', 'Stock Traders Purchase High Volume of Call Options on JPMorgan Chase &amp; Co. $JPM https://t.co/r8uWmNmXZF')
('2017-04-26 16:45:24', 'RT @DozenStocks: Dow #Stocks Trend $MSFT $CAT $INTC $MRK $DD $BA $CSCO $AAPL $IBM $MCD $JPM $DIS $UNH $V $HD $TRV $MMM $AXP $GS  @ https://â€_')
('2017-04-26 16:35:20', 'RT @jpmorgan: Just released: the annual $JPM Corporate Responsibility Report. Read about a year of impact. https://t.co/xqDMtPWSTz')
('2017-04-26 16:34:04', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/Yf3GGyjTxf')
('2017-04-26 16:32:10', 'MUST READ: A Pump And Trump Short Squeeze Play: https://t.co/ZihIz3fCKM $AAPL $SPY $JNJ $JPM $BA $GS $ORCL $MU $SIRI $MMM')
('2017-04-26 16:21:08', '$SNE #SONY reports Friday April 28th get ready for #analysts #upgrades https://t.co/tEL5sybCh6 $JPM $MS $GS $BACâ€_ https://t.co/q8wPcD483u')
('2017-04-26 16:14:59', 'RT @jpmorgan: Just released: the annual $JPM Corporate Responsibility Report. Read about a year of impact. https://t.co/xqDMtPWSTz')
('2017-04-26 15:58:49', 'RT @jpmorgan: Just released: the annual $JPM Corporate Responsibility Report. Read about a year of impact. https://t.co/xqDMtPWSTz')
('2017-04-26 15:56:19', 'Just released: the annual $JPM Corporate Responsibility Report. Read about a year of impact. https://t.co/xqDMtPWSTz')
('2017-04-26 15:52:40', '@HalftimeReport @SquawkAlley @petenajarian $JPM took down GDP growth NOT THIERS!!!! Insanity response to economistsâ€_ https://t.co/NxXHOVMClw')
('2017-04-26 15:51:05', '$AMMA Alliance MMA Management Agency Signs New Mixed Martial Arts Prospects https://t.co/12OZ4exqts $BAC $CHK $Fâ€_ https://t.co/JZEImDvnex')
('2017-04-26 15:51:05', '$AMMA Alliance MMA Management Agency Signs New Mixed Martial Arts Prospects https://t.co/dMqhOJebFx $BAC $CHK $Fâ€_ https://t.co/vepNCOJ7gj')
('2017-04-26 15:51:00', '#BREAKING: Invesco eyeing a $500M takeover of Source: https://t.co/CqmYqKL1hG $IVZ $GS $JPM')
('2017-04-26 15:50:30', 'Dow #Stocks Trend $MSFT $CAT $INTC $MRK $DD $BA $CSCO $AAPL $IBM $MCD $JPM $DIS $UNH $V $HD $TRV $MMM $AXP $GS  @ https://t.co/TvzJfd0RGT')
('2017-04-26 15:43:05'," ""$JPM altos can't make up their mind"")"
('2017-04-26 15:42:27', 'Thrilled that $JPM views #finhealth as a key element of their CSR strategy &amp; feat @TheFinLab in the annual report https://t.co/3ZKiWoQcAm')
('2017-04-26 15:30:22', 'RT @jpmorgan: Mapping developing areas can have a lasting impact. See how $JPM employees participate in the Missing Maps program. https://tâ€_')
('2017-04-26 15:30:05', 'RT @jpmorgan: Mapping developing areas can have a lasting impact. See how $JPM employees participate in the Missing Maps program. https://tâ€_')
('2017-04-26 15:26:01', 'When Big Banks Go Bad: The 9 Largest Bank Settlements of All Time https://t.co/5p56obMdx4 $BAC $WFC $JPM $DB $CS https://t.co/6XGb9NWy8a')
('2017-04-26 15:24:26'," ""$JPM JPMorgan beats Madoff customers' appeal https://t.co/RgIWfjiZDl"")"
('2017-04-26 15:13:17'," ""stockspinoffs: BCG Has Some Advice For 'Sustainably Successful Spinoffs' https://t.co/hCb6CDEmXR $JPM"")"
('2017-04-26 15:08:03', '$MCD $KO $NKE $JPM:\n\nLeBron James talks about life after basketball:\n\nhttps://t.co/sjA0L7KMuK')
('2017-04-26 15:07:24'," ""RT @jpmorgan: Read Peter Scher's full remarks from #Berlin about how $JPM is investing in closing the #skillsgap. https://t.co/ivyMKQgo61"")"
('2017-04-26 15:07:04', '$JPM:\n\nJPMorgan beats Madoff customersâ€™ appeal:\n\nhttps://t.co/36BYmXIMJK')
('2017-04-26 15:00:39', 'JPMorgan Chase &amp; Co. $JPM Downgraded by Vetr Inc. to Buy https://t.co/Vm2ZDIMMfr')
('2017-04-26 15:00:36', 'JPMorgan Chase &amp; Co. $JPM Downgraded by Vetr Inc. to Buy https://t.co/GbJjio3dgz')
('2017-04-26 15:00:05'," ""TRUMP'S TAX PLAN SETS THE STAGE FOR DJIA 30000 $CAT $MCD $AXP $SPY $BAC $EXPE $FB $INTC $JPM $TMUS $MMM $WBA $AMAT https://t.co/GRbRmfAIpg"")"
('2017-04-26 14:58:21', 'Real #CSR from @jpmorgan @chase $JPM focusses on #Workforce. See report. @pyxeraglobal proud partner #GlobalGoals https://t.co/W3GFPHeg0V')
('2017-04-26 14:56:45', 'TRUMP&amp;#8217;S TAX PLAN SETS THE STAGE FOR DJIA 30000 $CAT $MCD $AXP $SPY $BAC $EXPE $FB $INTC $JPM $TMUS... https://t.co/N6NoF1zRCr')
('2017-04-26 14:56:37', 'TRUMP&amp;#8217;S TAX PLAN SETS THE STAGE FOR DJIA 30000 $CAT $MCD $AXP $SPY $BAC $EXPE $FB $INTC $JPM $TMUS https://t.co/GRbRmfAIpg')
('2017-04-26 14:55:49', 'TRUMPâ€™S TAX PLAN SETS THE STAGE FOR DJIA 30000 $CAT $MCD $AXP $SPY $BAC $EXPE $FB $INTC $JPM $TMUS https://t.co/ufwCMLINCE')
('2017-04-26 14:54:17', 'RT @jpmorgan: Peter Scher: At $JPM we see creating greater economic opportunity as an imperative for us all. https://t.co/92UH4vZn0t')
('2017-04-26 14:48:20'," ""#JPMorganChase 5 Things You Need To Know From Jamie Dimon's Letter On Morality And Society. Read more: https://t.co/souJm4x7Og $JPM"")"
('2017-04-26 14:45:21', 'RT @jpmorgan: Mapping developing areas can have a lasting impact. See how $JPM employees participate in the Missing Maps program. https://tâ€_')
('2017-04-26 14:41:08'," ""RT @jpmorgan: Read Peter Scher's full remarks from #Berlin about how $JPM is investing in closing the #skillsgap. https://t.co/ivyMKQgo61"")"
('2017-04-26 14:39:05'," ""RT @jpmorgan: Read Peter Scher's full remarks from #Berlin about how $JPM is investing in closing the #skillsgap. https://t.co/ivyMKQgo61"")"
('2017-04-26 14:36:34', '$SNAP about to collapse and wipe out longs! $SPX $SPY $TWTR $FB $TSLA $AMD $NVDA $MFST $AAPL $GS $JPM $WFC https://t.co/KmaDgQNgvA')
('2017-04-26 14:36:30'," ""Read Peter Scher's full remarks from #Berlin about how $JPM is investing in closing the #skillsgap. https://t.co/ivyMKQgo61"")"
('2017-04-26 14:35:22'," ""#JPMorganChase 5 Things You Need To Know From Jamie Dimon's Letter On Morality And Society. Read more: https://t.co/jLVvXv5lqE $JPM"")"
('2017-04-26 14:31:29'," ""RT @jpmorgan: $JPM's Peter Scher &amp; Dorothee Blessing join @PHINEOgAG to discuss building career pathways. https://t.co/qbzwzoNar6"")"
('2017-04-26 14:28:26'," ""Benzinga: 5 Things You Need To Know From Jamie Dimon's Column On Morality And Society https://t.co/7yyhibfCyq $JPM $SPY"")"
('2017-04-26 14:28:15', '$JPM:\n\n5 Things You Need To Know From Jamie Dimonâ€™s Letter On Morality â€_:\n\nhttps://t.co/8fGcutSsNR')
('2017-04-26 14:28:11', 'RT @jpmorgan: Peter Scher: At $JPM we see creating greater economic opportunity as an imperative for us all. https://t.co/92UH4vZn0t')
('2017-04-26 14:28:10'," ""inelegantinvest: BCG Has Some Advice For 'Sustainably Successful Spinoffs' https://t.co/hCb6CDEmXR $JPM"")"
('2017-04-26 14:26:25'," ""RT @jpmorgan: $JPM's Peter Scher &amp; Dorothee Blessing join @PHINEOgAG to discuss building career pathways. https://t.co/qbzwzoNar6"")"
('2017-04-26 14:26:19'," ""RT @jpmorgan: $JPM's Dorothee Blessing: We know that in order to make a positive impact all of us need to pull together. https://t.co/kYtYâ€_"")"
('2017-04-26 14:26:15'," ""RT @jpmorgan: $JPM's Scher: We've developed a model informed by data &amp; based on evidence to effectively drive inclusive economic growth. htâ€_"")"
('2017-04-26 14:26:07', 'RT @jpmorgan: Peter Scher: At $JPM we see creating greater economic opportunity as an imperative for us all. https://t.co/92UH4vZn0t')
('2017-04-26 14:25:32'," ""5 Things You Need To Know From Jamie Dimon's Column On Morality And Society https://t.co/ujAHpvTbki $JPM $SPY"")"
('2017-04-26 14:24:42', 'The Global Systemically Important #Banks: An Update $BA $C $DB $JPM $WFC https://t.co/ylz4kAGnoX')
('2017-04-26 14:23:36', 'Like $JPM and $GS companies are still brokering deals with the Russians....just like Carter Page.  via @forbes https://t.co/AnvF4FYkMt')
('2017-04-26 14:22:18', 'â€œCreating economic opportunity must be an imperative for all of usâ€ù â€“ Peter Scher Head of CR for $JPM. Read more: https://t.co/f1E5pERYj1')
('2017-04-26 14:21:17', 'RT @jpmorgan: Peter Scher: At $JPM we see creating greater economic opportunity as an imperative for us all. https://t.co/92UH4vZn0t')
('2017-04-26 14:21:07'," ""RT @jpmorgan: $JPM's Scher: We've developed a model informed by data &amp; based on evidence to effectively drive inclusive economic growth. htâ€_"")"
('2017-04-26 14:19:37'," ""$JPM's Scher: We've developed a model informed by data &amp; based on evidence to effectively drive inclusive economicâ€_ https://t.co/gNYB7wKQ1h"")"
('2017-04-26 14:16:13'," ""RT @jpmorgan: $JPM's Blessing: We are here to discuss supporting disadvantaged young people on their journey from school to career. https:/â€_"")"
('2017-04-26 14:08:46', 'RT @jpmorgan: Peter Scher: At $JPM we see creating greater economic opportunity as an imperative for us all. https://t.co/92UH4vZn0t')
('2017-04-26 14:08:46', 'RT @jpmorgan: Peter Scher: At $JPM we see creating greater economic opportunity as an imperative for us all. https://t.co/92UH4vZn0t')
('2017-04-26 14:04:51', '$SNAP MAJOR BULL TRAP!!! Watch for Wave B pullback! $SPX $SPY $TWTR $FB $TSLA $AMD $NVDA $MFST $AAPL $GS $JPM $WFC https://t.co/T6xAsqAxau')
('2017-04-26 14:03:13', 'Peter Scher: At $JPM we see creating greater economic opportunity as an imperative for us all. https://t.co/92UH4vZn0t')
('2017-04-26 13:55:56', '$SNAP should fall below $21 by end of next week $SPX $SPY $TWTR $FB $TSLA $AMD $NVDA $MFST $AAPL $GS $JPM $WFC')
('2017-04-26 13:54:58'," ""BCG Has Some Advice For 'Sustainably Successful Spinoffs' https://t.co/BHRufyUNQB $JPM"")"
('2017-04-26 13:53:38', 'JPM Top news - Apr 26th 2017 $JPM http://https://t.co/7ZQenroroO')
('2017-04-26 13:53:18'," ""RT @jpmorgan: $JPM's Dorothee Blessing: We know that in order to make a positive impact all of us need to pull together. https://t.co/kYtYâ€_"")"
('2017-04-26 13:52:27'," ""$JPM's Dorothee Blessing: We know that in order to make a positive impact all of us need to pull together. https://t.co/kYtYpPUc5c"")"
('2017-04-26 13:40:42', 'International banks are getting serious about moving staff to Frankfurt https://t.co/FoQgTpTKl2 via @business $GS $C $JPM $BCS #brexit')
('2017-04-26 13:38:07'," ""$JPM's Blessing: We are here to discuss supporting disadvantaged young people on their journey from school to careeâ€_ https://t.co/0CQrjfEygM"")"
('2017-04-26 13:35:13', 'RT @jpmorgan: Mapping developing areas can have a lasting impact. See how $JPM employees participate in the Missing Maps program. https://tâ€_')
('2017-04-26 13:29:28'," ""$JPM's Peter Scher &amp; Dorothee Blessing join @PHINEOgAG to discuss building career pathways. https://t.co/qbzwzoNar6"")"
('2017-04-26 13:20:56', 'RT @SwatOptions: $XLF $BAC $MS $JPM past week calling bullish into this week... all in progress https://t.co/aUqLgZjzfJ')
('2017-04-26 13:16:21', 'FREE REPORT\nHow do #equity #investment #HedgeFunds see #stocks\n$FB $GE $JNJ $JPM $MSFT\nin the coming weeks?â€_ https://t.co/lcwZA3iZrh')
('2017-04-26 13:09:47', 'The Future Of Money Management? https://t.co/e2H2yjkUe7 $BK $BLK $JPM $PNC $STT')
('2017-04-26 13:08:52', '$JPM JPMorgan zooming in on Warsaw for new global back office center https://t.co/iKGJn8Rqsm')
('2017-04-26 13:05:20', 'MUST READ: A Pump And Trump Short Squeeze Play: https://t.co/ZihIz3fCKM $JPM $DUK $HLF $BBEPQ $TVIX $ULTA $LO $AXAS $ECL $DOV')
('2017-04-26 12:51:38', '$AXP $BBY $GE $JPM $WFC Wall Streetâ€™s Top Analysts Upgrades Downgrades &amp; Initiations - Live Trading News https://t.co/NBfwXvjcP3')
('2017-04-26 12:51:04', 'RT @PortfolioBuzz: Trading indices? Check stories for the major constituents of #SP500 $CVX $PG $JPM https://t.co/Rwpf6Sogpu https://t.co/Sâ€_')
('2017-04-26 12:38:59'," ""#Breaking Treasury Secretary Mnuchin : 'It'll the biggest Tax Cut largest Tax Reform in history' #WallStreet $GS $JPM $C $MS $WFC $BLK $BAC"")"
('2017-04-26 12:33:46', 'Trading indices? Check stories for the major constituents of #SP500 $CVX $PG $JPM https://t.co/Rwpf6Sogpu https://t.co/SxAbog8ORO')
('2017-04-26 12:22:24', 'Take a minute to explore the $JPM model of philanthropy leveraging our core business to drive inclusive growth: https://t.co/M9D2z0E4N9')
('2017-04-26 12:01:05', '$JPM - JPMorgan Chase Annual Corporate Responsibility Report Highlights Model for Impact https://t.co/GMuh1nByG9')
('2017-04-26 11:47:23', 'RT @jonnajarian: $CREE beats top line misses bottom line lowers guidance $JPM cuts to Neutral from Overweight shares down 8% in the preâ€_')
('2017-04-26 11:36:23'," ""RT @jpmorgan: Tune in to @BloombergTV starting at 7am ET to catch $JPM's John Normand discussing the latest news on global currency markets."")"
('2017-04-26 11:30:02', 'When Big Banks Go Bad: The 9 Largest Bank Settlements of All Time  #stocks $BAC $JPM $WFC $DB $CS $BNPQY https://t.co/KsQvjmKitO')
('2017-04-26 11:23:23'," ""RT @jpmorgan: Tune in to @BloombergTV starting at 7am ET to catch $JPM's John Normand discussing the latest news on global currency markets."")"
('2017-04-26 11:15:46', '$CREE beats top line misses bottom line lowers guidance $JPM cuts to Neutral from Overweight shares down 8% in the pre @HalftimeReport')
('2017-04-26 11:06:25', '#Breaking Twitter $TWTR beats #earnings &gt; $0.11 EPS v $0.01 Expected #stocks #WallStreet $GS $JPM $BAC $C $MS $CRM $MSFT #NationalPretzelDay')
('2017-04-26 10:57:54'," ""RT @jpmorgan: Tune in to @BloombergTV starting at 7am ET to catch $JPM's John Normand discussing the latest news on global currency markets."")"
('2017-04-26 10:36:40'," ""RT @jpmorgan: Tune in to @BloombergTV starting at 7am ET to catch $JPM's John Normand discussing the latest news on global currency markets."")"
('2017-04-26 10:32:45'," ""RT @jpmorgan: Tune in to @BloombergTV starting at 7am ET to catch $JPM's John Normand discussing the latest news on global currency markets."")"
('2017-04-26 10:31:31'," ""RT @jpmorgan: Tune in to @BloombergTV starting at 7am ET to catch $JPM's John Normand discussing the latest news on global currency markets."")"
('2017-04-26 10:30:01'," ""Tune in to @BloombergTV starting at 7am ET to catch $JPM's John Normand discussing the latest news on global currency markets."")"
('2017-04-26 10:25:25', '$JPM When Big Banks Go Bad: The 9 Largest Bank Settlements of All Time https://t.co/wdy4dRATqZ')
('2017-04-26 10:21:23', 'RT @SharePlanner: A Short List of Short Setups to Short - SharePlanner $JNPR $JPM $FLEX $FITB $GS $MPC $HRS + more https://t.co/oNIPelB887')
('2017-04-26 10:11:34', 'RT @SharePlanner: A Short List of Short Setups to Short - SharePlanner $JNPR $JPM $FLEX $FITB $GS $MPC $HRS + more https://t.co/oNIPelB887')
('2017-04-26 10:11:34', '$JPM breaking out see some in-depth analysis on https://t.co/9D4ivRoJui #Maga #pcg')
('2017-04-26 10:10:15', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/1ZwjWXq0U3')
('2017-04-26 10:10:15', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/YwLsv8t0yV')
('2017-04-26 10:10:14', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/iLPi8OayH8')
('2017-04-26 10:10:14', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/WzLOUAUqDv')
('2017-04-26 10:08:50', 'New home sales hit 621000 in March versus 590000 estimate\n\n$BAC $JPM $XLF \n\nhttps://t.co/MTXVgMGKmJ')
