('2017-04-19 15:59:08'," ""$NFLX below last week's low"")"
('2017-04-19 15:23:52', 'NEWS: Microcap stock moving up on $1.4B contract: https://t.co/F49kF8WydZ $NFLX $GDX $EMR $QIHU $AG $HFC $TIP $HALO $NOW $OGZPY')
('2017-04-19 15:20:47', 'RT @GerberKawasaki: They might have risk but my favorite tech companies right now are $tsla $nvda $nflx $FB So much potential in these nam‰Û_')
('2017-04-19 15:17:25'," ""Netflix's (NFLX) CEO Reed Hastings on Q1 2017 Results - Earnings Call Transcript $NFLX  https://t.co/iYQ7D7XevF"")"
('2017-04-19 15:16:02'," ""RT @ValaAfshar: 2000: Blockbuster could've bought @Netflix for $50M\n\n2017: $NFLX market cap is $63 Billion https://t.co/vVtmabb4y8"")"
('2017-04-19 15:13:04', '$NFLX the sellers may want to be patient and wait for the 145+ area to arrive... impatience does not pay too well when dealing with #NFLX')
('2017-04-19 15:10:05'," ""@wilkinson991 what are you talking about? the stock has been under vwap and ma's all morning $NFLX"")"
('2017-04-19 15:05:25', 'When we see nasty accumulation in $NFLX off lows...you know what to do!!! Loading Zones.... #stocks #tradeideas #investing')
('2017-04-19 15:02:11', 'RT @GerberKawasaki: They might have risk but my favorite tech companies right now are $tsla $nvda $nflx $FB So much potential in these nam‰Û_')
('2017-04-19 15:02:10', 'RT @arturoamaya: Hello Tuesday #EarningsSeason will be bored $nflx $cbi $jnj')
('2017-04-19 15:01:34', 'Netflix Inc. $NFLX Given ‰ÛÏOutperform‰Ûù Rating at Cowen and Company https://t.co/bS3FK32l9w')
('2017-04-19 15:01:27', 'Is $NFLX offering a good r/r here? Stop $138')
('2017-04-19 15:00:31', 'Heritage Investors Management Corp Acquires 125 Shares of Netflix Inc. $NFLX https://t.co/7FI7hxh4gC')
('2017-04-19 14:59:42', 'RT @SwingTradeBot: Recent $NFLX technical alerts: Fell Below 50 DMA plus 6 more alerts... https://t.co/Yx89LTtNyQ')
('2017-04-19 14:59:36', 'RT @IncomeDisparity: Q; What stock hit an ATH pre-market and closed under the 50 dma yesterday?\n\nA: $NFLX')
('2017-04-19 14:58:26', 'What Are You Getting Now When You Buy Netflix? https://t.co/zBYVKkVycE $NFLX')
('2017-04-19 14:58:23', 'What Are You Getting Now When You Buy Netflix? https://t.co/QQoIR27qhi $NFLX')
('2017-04-19 14:57:01', 'What Are You Getting Now When You Buy Netflix? https://t.co/pEoYNUgwwn $NFLX')
('2017-04-19 14:55:29', 'Using a newly developed strategy. $TSLA &amp; $NFLX Short options played out nicely for gains. Unfortunately not enough to offset the losses.')
('2017-04-19 14:55:05', '$NFLX ..142 getting positioned.... #NFLX')
('2017-04-19 14:53:24', 'Q; What stock hit an ATH pre-market and closed under the 50 dma yesterday?\n\nA: $NFLX')
('2017-04-19 14:52:47', 'Recent $NFLX technical alerts: Fell Below 50 DMA plus 6 more alerts... https://t.co/Yx89LTtNyQ')
('2017-04-19 14:50:18'," ""monster bet on those Aug 145C's $NFLX\n\non 90D POC"")"
('2017-04-19 14:50:10', '$NFLX the short game may be facing Launch Mode via the Street Forces and new $$$ mgrs adding to accts. #stocks #tradeideas #investing')
('2017-04-19 14:48:28', 'Yo $NFLX breaking below $143 I kind of think is a big deal - I am not even close to an expert....')
('2017-04-19 14:47:03', 'NFLX Top news - Apr 19th 2017 $NFLX http://https://t.co/y44OiFs5TR')
('2017-04-19 14:46:32', '$NFLX 145 Calls BUYING Activity expiring on 18th Aug Vol 1746')
('2017-04-19 14:44:44', '$NFLX if they push 144 they will hammer the ask for 147+. Crazy? Keep watching their games.. huge call buying! #stocks #tradeideas #invest')
('2017-04-19 14:44:13', 'Netflix Inc. $NFLX Price Target Raised to $73.00 at Wedbush https://t.co/1TMvna37n4')
('2017-04-19 14:44:11', '@yusschr @NotaBubble @7wtc A few places to hide for next 3-6 mo as market digests Trump Tax Reform global conflic‰Û_ https://t.co/vmfVJXCeFV')
('2017-04-19 14:41:29', '@yusschr @NotaBubble @7wtc $NFLX back to where it was b4 the pre-earnings ascent to $147 now hovering at 141/142.‰Û_ https://t.co/r0yaNaBngz')
('2017-04-19 14:41:29', 'Netflix Inc. $NFLX Given New $165.00 Price Target at Canaccord Genuity https://t.co/DDItcrTIGp')
('2017-04-19 14:41:28', 'Netflix Inc. $NFLX Price Target Increased to $175.00 by Analysts at Pivotal Research https://t.co/r15qq8OGYx')
('2017-04-19 14:41:26', 'Netflix Inc. $NFLX Given ‰ÛÏBuy‰Ûù Rating at Guggenheim https://t.co/2hHBebTgJT')
('2017-04-19 14:40:53', 'Netflix Inc. $NFLX Price Target Raised to $165.00 at Cantor Fitzgerald https://t.co/m5TESGcCbR')
('2017-04-19 14:40:34', 'Netflix Inc. $NFLX Price Target Increased to $145.00 by Analysts at FBR &amp; Co https://t.co/XkGTCQ1yw7')
('2017-04-19 14:40:30', '$NFLX will the Boyz go for the short cash??? Its #NFLX...what do you think??? 145+ Shorts are adding fuel.... #stocks #tradeideas #investing')
('2017-04-19 14:39:23', 'Netflix Inc. $NFLX Price Target Raised to $73.00 at Wedbush https://t.co/TdjZnNTtVN #stocks')
('2017-04-19 14:38:57', 'Netflix Inc. $NFLX Price Target Raised to $73.00 at Wedbush https://t.co/RgX2TQN2Xo')
('2017-04-19 14:37:19', 'Netflix Inc. $NFLX Price Target Increased to $145.00 by Analysts at FBR &amp; Co https://t.co/Qg4FQJezg5')
('2017-04-19 14:34:02', 'Are you Bullish or Bearish on #Netflix? Start #Trading $NFLX with #Bitcoin. 15:1 Leverage. #Stocks #Blockchain #BTC‰Û_ https://t.co/vbyZAbBCPY')
('2017-04-19 14:33:11', '$NFLX ...getting some short covering taking place off lows.... Hmmmm...next bite should do it! #stocks #tradeideas #investing')
('2017-04-19 14:30:20', 'covering $NFLX ss')
('2017-04-19 14:29:45', '$NFLX = Slow moving TRAIN if deep short.... Boomer?? #tradeideas #stocks')
('2017-04-19 14:29:32', '$NFLX sitting pretty much at the neckline')
('2017-04-19 14:27:05', '$AMZN and $NFLX showing dismal relative strength today. If the Nasdaq turns lower these will fall like a rock. #stocks #trade #investing')
('2017-04-19 14:26:20', '$SPY 2days move looks PRIME! Tick Tock!! $SPX $QQQ $IWM $GS $CMG $BAC $AAPL $BABA $C $JPM $NFLX  $BIDU $SNAP $FB‰Û_ https://t.co/qeSFVCt9LY')
('2017-04-19 14:26:18', 'Bo Dikeman placed an order to sell Netflix Inc. $NFLX\nhttps://t.co/Qvda0BUiKf')
('2017-04-19 14:25:10', '$nflx breaking below supports https://t.co/XHIPYvvpea')
('2017-04-19 14:25:06', 'Momentum traders will begin to pile in to $NFLX on the short side finally.  This stock does not look healthy.')
('2017-04-19 14:24:34', '$NFLX  aieee #144 swas desk traders signal eh;')
('2017-04-19 14:23:12', 'RT @Ascend_Trading: Auto-Trend #TOS Script coming soon.... $AAPL $FB $TWTR $NFLX $AMZN $NVDA $IDXG $NUGT $DUST $ARGS #TradeSocially https:/‰Û_')
('2017-04-19 14:20:52', 'If you want to buy $NFLX wait a day or two and buy it at 138.')
('2017-04-19 14:20:16', '$NFLX delaying the inevitable holding above 140 to kill the rest of the EPS straddlers the sooner we touch 120 the sooner we get to 300')
('2017-04-19 14:18:31', '$NFLX would buy this at 127')
('2017-04-19 14:17:40'," ""$NFLX ...accumulation triggers are here.... ??? Hmmmm...wonder why they are buying the 142's??"")"
('2017-04-19 14:16:30', '$nflx has to flush three consecutive days')
('2017-04-19 14:16:22', '$NFLX = TNT via early calls..... $$$$$ Bonus cash on the wayyyyy...')
('2017-04-19 14:16:11', '$NFLX ..patience for $150+++ as the dust settles and the $$$ mgrs load the dippers...  #stocks #tradeideas #investing')
('2017-04-19 14:15:49', '$NFLX = Extreme Risk... $$ Play the chart game....')
('2017-04-19 14:15:18', '$NFLX chaching same ole pivot. Right off #144 resistance failure. https://t.co/Vdrfi1oy2S')
('2017-04-19 14:14:53', '$nflx still holding my shorts - it will drop another day')
('2017-04-19 14:13:17', '$GOOGL and $FB doing well mom and pop in there buying perhaps? But $NFLX $AMZN losing steam.\n$AAPL gapped open but sitting on support now.')
('2017-04-19 14:12:59'," ""we're in $BIDU $NFLX $CMG today"")"
('2017-04-19 14:08:30', 'covering 1/2 short here $NFLX 141.84 +3%')
('2017-04-19 14:07:33', 'Re comments on Netflix &amp; Goldman w/ daytrading forget patience and discipline was all of a sudden unnecessary w/head-fakes? NO! $GS $NFLX')
('2017-04-19 14:04:36', 'RT @tradewithjoe: Turning 1k into 100k - details here:\n\nhttps://t.co/upDpfLpMkH\n\n$SPY $IWM $VIX $UVXY $FB $AAPL $NFLX $BABA $PCLN $BBRY $GL‰Û_')
('2017-04-19 14:03:24', 'RT @tradewithjoe: Turning 1k into 100k - details here:\n\nhttps://t.co/upDpfLpMkH\n\n$SPY $IWM $VIX $UVXY $FB $AAPL $NFLX $BABA $PCLN $BBRY $GL‰Û_')
('2017-04-19 14:01:43', 'Netflix‰Ûªs $NFLX ‰ÛÏNeutral‰Ûù Rating Reaffirmed at Rosenblatt Securities https://t.co/W8W4lzGdag')
('2017-04-19 14:00:39', 'Netflix Inc. $NFLX Given ‰ÛÏBuy‰Ûù Rating at Instinet https://t.co/KidtOt5Ywi')
('2017-04-19 14:00:04', 'Turning 1k into 100k - details here:\n\nhttps://t.co/upDpfLpMkH\n\n$SPY $IWM $VIX $UVXY $FB $AAPL $NFLX $BABA $PCLN $BBRY $GLD $GDX $GDXJ $USO')
('2017-04-19 13:56:48', '@jimcramer thoughts on $NFLX? Been hovering around the low $140s for 3 months. New subscribers not hitting expectations but rev is growing')
('2017-04-19 13:53:56'," ""Like Netflix Goldman Sachs presented same trade. Works every time? Of course not! But it's all about R/R evaluations. $NFLX $GS no cur pos"")"
('2017-04-19 13:53:33', 'RT @GerberKawasaki: They might have risk but my favorite tech companies right now are $tsla $nvda $nflx $FB So much potential in these nam‰Û_')
('2017-04-19 13:51:36'," ""Didn't have time to post trade but if daytrading remember a very good R/R trade is press up or down day after a hyped/trapped move. $NFLX"")"
('2017-04-19 13:51:03', 'Why Apple would be better off with Netflix rather than Disney. https://t.co/GtO4fuuLWZ $AAPL $NFLX $DIS')
('2017-04-19 13:50:49', '$NFLX Got some big money dumping in the past 2 days.')
('2017-04-19 13:50:37', '$NFLX delayed reaction.  Shares are overvalued bigtime.  $NFLX is going to 135.')
('2017-04-19 13:50:22', 'Unusual call buying: $PX 30x average volume $FEZ 12x $GGP 11x $EWJ 8x $FITB 7x $PG 5x $IBM 4x $NFLX 4x ‰ Õ via https://t.co/bBGk6y5Wkt')
('2017-04-19 13:50:16', '$nflx watch these lows form yesterday could start another flush https://t.co/OTWmhJ9ink')
('2017-04-19 13:50:15', '$NFLX looks to be going for that phantom 140 wick for real now.')
('2017-04-19 13:49:51', '$NFLX looks like it wants to test yday lows 140')
('2017-04-19 13:48:19', 'RT @GerberKawasaki: They might have risk but my favorite tech companies right now are $tsla $nvda $nflx $FB So much potential in these nam‰Û_')
('2017-04-19 13:47:16', '$SPY Point and Figure (P&amp;F) Stock Charts Explained Simply https://t.co/RATrHHiPf2 $AAPL #stocks #stockmarket #investing $NFLX $AMZN $FB $QQQ')
('2017-04-19 13:47:14', '$AMZN $NFLX weak gap already filled')
('2017-04-19 13:46:58', 'Last 1 year\n$TSLA - $AAPL - $FB - $PCLN - $NFLX - $OLED  investors happy whereas $TWTR - $GPRO - $FEYE - $PANW - $TRIP  - $VRX investors sad')
('2017-04-19 13:46:34', 'Unusual call buying: $PX 30x average volume $FEZ 12x $GGP 11x $EWJ 8x $FITB 7x $PG 5x $IBM 4x $NFLX 4x')
('2017-04-19 13:46:14', '$NFLX looking weak')
('2017-04-19 13:46:10', '$NFLX $AMZN faded already selloff starting')
('2017-04-19 13:42:46', 'RT @GerberKawasaki: They might have risk but my favorite tech companies right now are $tsla $nvda $nflx $FB So much potential in these nam‰Û_')
('2017-04-19 13:42:31', 'They might have risk but my favorite tech companies right now are $tsla $nvda $nflx $FB So much potential in these names. #tesla #netflix')
('2017-04-19 13:42:17', '$NFLX #RIP https://t.co/7hN7X7kAUv')
('2017-04-19 13:41:36', 'I like $NFLX to short side.')
('2017-04-19 13:40:01', '$NFLX nice short on the open here')
('2017-04-19 13:39:54', '$NFLX 141.50 pretty important level to hold through there and it gets slippery.')
('2017-04-19 13:38:44', '$NFLX #Netflix : MS Sees Global Growth Potential Reaffirms Overweight - https://t.co/yuTPE1n5HX')
('2017-04-19 13:38:06', '$NFLX We do have a bearish engulfing candle &amp; now below 21 &amp; 8 day moving avgs. Short trade.')
('2017-04-19 13:38:03', 'Credit Suisse Thinks Apple Can Hit Its Services Target Ups Price Target to $170 https://t.co/OZJOfKVnB4 $AAPL $NFLX https://t.co/woj8ygmU0S')
('2017-04-19 13:35:21', '$NFLX $AAPL $DIS  https://t.co/rK6dpbFabO')
('2017-04-19 13:33:36', 'Why the Best Is Yet to Come for Netflix Inc. https://t.co/BXZkdcAJll $NFLX $CMCSA $AMZN https://t.co/syGtd8Yv9n')
('2017-04-19 13:33:36', 'Sell Netflix After It Topped https://t.co/dVTk7ziQVG $NFLX $AAPL $DIS https://t.co/ClP9UVjoXe')
('2017-04-19 13:31:46', 'Post Earning Trades on IBM and Netflix | $NFLX $IBM https://t.co/HyhE2O1iPA https://t.co/gxp7kKRS0Y')
('2017-04-19 13:23:37', 'Repost: Select US Stocks PROJECTED Day Ranges 4/19: $AAPL $AGN $AMZN $BAC $FB $GOOG $GILD $NFLX $NVDA $TSLA $SPY‰Û_ https://t.co/TgPgdEBKHU')
('2017-04-19 13:22:18', 'Opening: US Stocks PROJECTED Day Ranges 4/19: $AAPL $AGN $AMZN $BAC $FB $GOOG $GILD $NFLX $NVDA $TSLA $SPY $QQQ tig‰Û_ https://t.co/nLqrIpCtFt')
('2017-04-19 13:20:22', 'Why the Best Is Yet to Come for Netflix Inc. https://t.co/70ud5r8Xgr $NFLX $AMZN https://t.co/m0fJyX6PSH')
('2017-04-19 13:19:07', 'RT @420WeedStreet: $SPY $SPX $QQQ $IWM $GS $CMG $BAC $AAPL $BABA $C $JPM $NFLX  $BIDU $SNAP $FB $DJI $DJIA $USO $VIX $UVXY $PCLN https://t.‰Û_')
('2017-04-19 13:15:27', 'RT @FoxBusiness: #StockAlert - Stocks to watch today on #WallStreet $NFLX $MCD https://t.co/5mDvnEZsiT')
('2017-04-19 13:11:20', '$SPY $SPX $QQQ $IWM $GS $CMG $BAC $AAPL $BABA $C $JPM $NFLX  $BIDU $SNAP $FB $DJI $DJIA $USO $VIX $UVXY $PCLN https://t.co/AtTErnRcH3')
('2017-04-19 13:05:08', 'I watch $NFLX cuz it will have macd cross soon on 3 minutes chart')
('2017-04-19 13:03:51'," ""One Thing Investors May Have Overlooked From Netflix's 2017 Q1 Earnings https://t.co/56umV1TS29 $NFLX"")"
('2017-04-19 13:03:23'," ""RT @SeekingAlpha: One Thing Investors May Have Overlooked From Netflix's 2017 Q1 Earnings https://t.co/9FLS5Vp4tU $NFLX"")"
('2017-04-19 12:59:13', 'Sell Netflix After It Topped. Vote HERE: https://t.co/rcEUprjN7U $NFLX https://t.co/Af6P76ijmk')
('2017-04-19 12:58:59'," '""Dad what\'s that smell? $DRYS sham?? ...""No Sue it\'s $NFLX tens B $s cash #incineration - They say going go on yrs more"" \n\n$AMZN @jimcramer')"
('2017-04-19 12:58:35'," ""One Thing Investors May Have Overlooked From Netflix's 2017 Q1 Earnings https://t.co/9FLS5Vp4tU $NFLX"")"
('2017-04-19 12:53:17', 'It may be time to shoot $nflx in the back of the head.')
('2017-04-19 12:50:57', 'RT @cfromhertz: Stock levels/ pivots to watch today:  $AAPL $FB $GOOGL $AMZN $NFLX https://t.co/sakySu4Fy5')
('2017-04-19 12:50:55', '$NFLX shares not participating in broad relief market rally as traders rotate money into companies that actually ma‰Û_ https://t.co/S7oKbcvIVB')
('2017-04-19 12:47:54', '$BABA  $AAPL $MCD $NFLX Wall Street‰Ûªs Top Analysts Upgrades Downgrades &amp; Initiations - Live Trading News https://t.co/vcijYmEXJc')
('2017-04-19 12:45:40', '$NFLX weak PM in a strong tape. _Ù_Ó')
('2017-04-19 12:44:12', 'Netflix Inc. $NFLX Sees Unusually-High Trading Volume Following Strong Earnings https://t.co/YpJSrRYCiF')
('2017-04-19 12:40:34', '$NFLX stock has strong support from 50-day SMA. https://t.co/m0GVRDMpJ2')
('2017-04-19 12:39:51', 'RT @cfromhertz: Stock levels/ pivots to watch today:  $AAPL $FB $GOOGL $AMZN $NFLX https://t.co/sakySu4Fy5')
('2017-04-19 12:38:52', 'Stock levels/ pivots to watch today:  $AAPL $FB $GOOGL $AMZN $NFLX https://t.co/sakySu4Fy5')
('2017-04-19 12:38:24', 'Why One Netflix Decision May Lead To An Additional Benefit https://t.co/O7I5oWEo6A $NFLX')
('2017-04-19 12:37:59', 'Netflix Inc. to Post Q2 2017 Earnings of $0.16 Per Share William Blair Forecasts $NFLX https://t.co/9taVgyBGL6')
('2017-04-19 12:33:55', 'Option Volatility and Pricing 2nd Edition by Sheldon Natenberg: https://t.co/y9CYDLxEEQ #options $SPY $VIX $AAPL $DIA $NFLX')
('2017-04-19 12:29:24', 'RT @XMCapitalGroup: $NFLX all-time highs. Should bode well for tech tmrw. $QQQ $AMZN $AAPL $SPX')
('2017-04-19 12:26:49'," ""Why Apple Could (but Won't) Buy Disney @themotleyfool #stocks $AAPL $NFLX $DIS $TSLA https://t.co/pX3p1cJj7U"")"
('2017-04-19 12:25:42', 'Netflix Inc. to Post Q2 2017 Earnings of $0.16 Per Share William Blair Forecasts $NFLX https://t.co/weanyQZJY3')
('2017-04-19 12:23:41'," ""$NFLX having that sinking post-earnings feeling don't despair!?! https://t.co/Q5R7KEZxvd"")"
('2017-04-19 12:22:38', 'Netflix Inc. to Post Q2 2017 Earnings of $0.16 Per Share William Blair Forecasts $NFLX https://t.co/ZJYUqzE0Pl')
('2017-04-19 12:18:36', 'Netflix Offers Traders a Juicy Trading Opportunity $NFLX - https://t.co/hPR5Vl7yW7')
('2017-04-19 12:17:04', '$NFLX...Overnight short... Entry $148.07 covered remaining pos $143.40 x 800 https://t.co/V6pFChLxO2')
('2017-04-19 12:13:20', 'Netflix Offers Traders a Juicy Trading Opportunity $NFLX - https://t.co/UiZYW3ZR3g')
('2017-04-19 12:04:15', 'RT @David_Kretzmann: Time for Foolery! Talked earnings from @netflix @united and more on @MarketFoolery today: https://t.co/29VFdgqgHT $N‰Û_')
('2017-04-19 11:57:54'," ""RT @byHeatherLong: Netflix CEO Reed Hastings says his company's biggest competitor isn't Amazon HBO or YouTube it's SLEEP. https://t.co/d‰Û_"")"
('2017-04-19 11:57:10'," ""Netflix CEO Reed Hastings says his company's biggest competitor isn't Amazon HBO or YouTube it's SLEEP. https://t.co/dcuBzBhI05 $nflx"")"
('2017-04-19 11:52:04', '$NFLX:\n\nWhy the Best Is Yet to Come for Netflix Inc.:\n\nhttps://t.co/xFVGzeLWAj')
('2017-04-19 11:51:55', 'RT @WallStJesus: _ÙÓ´ACTIVE FLOW &gt;&gt; $BAC $AAPL $NFLX $AMD FB $TSLA $JPM $AMZN $C $WFC $X $ILG $BABA $RF $MU $TWTR $F $MSFT $SBUX $GS https://t‰Û_')
('2017-04-19 11:51:23', 'RT @Drugdoctor2014: $GBSND-Great Basin-Scientific-WOW-Dilution-Done-$2500-$1.83-in-2017! OVERSOLD? $SYMC $CHKP  $SWKS $CA $STX $CMCSA $SBUX‰Û_')
('2017-04-19 11:51:22', 'Netflix Inc. Earnings: Material Profits Begin @themotleyfool #stocks $NFLX https://t.co/4PDVFCAs19')
('2017-04-19 11:50:36', 'RT @AverageJoeTradr: Focused #earnings $NFLX $HOG $BAC  $GS $UNH $JNJ $IBM $GE $QCOM $VZ $SCHW $MS $CUDA $BX $PGR $V $MTB  $ABT $UAL $CMA $‰Û_')
('2017-04-19 11:49:19', 'Netflix Inc. $NFLX Issues Earnings Results https://t.co/OQx6DBS7NW')
('2017-04-19 11:47:02', 'Netflix Inc. $NFLX Issues Earnings Results https://t.co/RfSOnG8Hie')
('2017-04-19 11:36:22', 'Select US Stocks PROJECTED Day Ranges 4/19: $AAPL $AGN $AMZN $BAC $FB $GOOG $GILD $NFLX $NVDA $TSLA $SPY $QQQ ready‰Û_ https://t.co/ShV43Bg24I')
('2017-04-19 11:35:18', 'Select US Stocks PROJECTED Day Ranges 4/19: $AAPL $AGN $AMZN $BAC $FB $GOOG $GILD $NFLX $NVDA $TSLA $SPY $QQQ ready‰Û_ https://t.co/26u9QfKz4K')
('2017-04-19 11:20:12', 'RT @wilkinson991: The timing is perfect. The possibility of $AAPL taking on a major position in $NFLX is fun. What lies in the tall damp gr‰Û_')
('2017-04-19 11:19:59', 'RT @Investing_Books: How to Day Trade Stocks for Profit by Harvey Walsh: https://t.co/8blKvU48MG $SPY $AAPL $SPX $GOOGL $AMZN $NFLX $TSLA')
('2017-04-19 11:19:01'," ""The Sell-Side Responds To Netflix's Q1 Earnings $NFLX via @benzinga currently at 143$ analysts predict 125-175$ https://t.co/bUmO7sGByO"")"
('2017-04-19 11:17:43', 'Protected: Weekly Swing Trading Stocks Wed Apr 19 $BA $LIT $RIG $ABX $XME $EXK $BABA $WYNN
('2017-04-19 11:13:12', '$DIS $NFLX:\n\nWhy Apple Could (but Won‰Ûªt) Buy Disney:\n\nhttps://t.co/GEyiDCCDYT')
('2017-04-19 11:11:35', 'Protected: Weekly Swing Trading Stocks Wed Apr 19 $BA $LIT $RIG $ABX $XME $EXK $BABA $WYNN
('2017-04-19 11:10:58', 'RT @420WeedStreet: $SPY AWESOME! @RedDogT3  $SPX $QQQ $IWM $GS $CMG $BAC $AAPL $BABA $C $JPM $NFLX  $BIDU $SNAP $FB $DJI $DJIA $USO $VIX $U‰Û_')
('2017-04-19 11:10:57', 'RT @Investing_Books: How to Day Trade Stocks for Profit by Harvey Walsh: https://t.co/8blKvU48MG $SPY $AAPL $SPX $GOOGL $AMZN $NFLX $TSLA')
('2017-04-19 11:01:20', 'The timing is perfect. The possibility of $AAPL taking on a major position in $NFLX is fun. What lies in the tall damp grass? Premium build~')
('2017-04-19 10:53:55'," ""RT @TMLTrader: $NFLX How to Find and Own America's Greatest Opportunities (by William O'Neil): featuring Netflix. Courtesy of IBD https://t‰Û_"")"
('2017-04-19 10:52:09', 'RT @usnews: .@Netflix expects to cross the 100-million-subscriber mark in the second quarter. https://t.co/YTJsalRv1z $NFLX https://t.co/LE‰Û_')
('2017-04-19 10:50:18', 'RT @Investing_Books: How to Day Trade Stocks for Profit by Harvey Walsh: https://t.co/8blKvU48MG $SPY $AAPL $SPX $GOOGL $AMZN $NFLX $TSLA')
('2017-04-19 10:50:18', 'RT @getvolatility: Cheap call option upside: $NFLX calls cheaper than 100% of history $TWX 100% $BIDU 99% $AAPL 99% $QQQ 99% $FB 99%‰Û_')
('2017-04-19 10:48:55', 'How to Day Trade Stocks for Profit by Harvey Walsh: https://t.co/8blKvU48MG $SPY $AAPL $SPX $GOOGL $AMZN $NFLX $TSLA')
('2017-04-19 10:48:11', '.@Netflix expects to cross the 100-million-subscriber mark in the second quarter. https://t.co/YTJsalRv1z $NFLX https://t.co/LEtv8UM1a7')
('2017-04-19 10:42:06', 'Cheap call option upside: $NFLX calls cheaper than 100% of history $TWX 100% $BIDU 99% $AAPL 99% $QQQ 99% $FB 99% $GOOGL 99%')
('2017-04-19 10:25:09', 'RT @theflynews: On The Fly: Top stock stories for Tuesday $GS $BAC $JNJ $NFLX $FB $GNC $CAB $SNV $COF $CUDA $CAH $MDT https://t.co/dRkXAIHq‰Û_')
('2017-04-19 10:21:02'," ""ain't that the truth $NFLX https://t.co/xtyt3zJOEj"")"
('2017-04-19 10:17:57'," ""Netflix's biggest competitor? Sleep https://t.co/O9Askakp7m $NFLX"")"
('2017-04-19 10:16:40', 'Watch List: Wednesday April 19 #HumpDay \n$SPY $SPX $QQQ $UVXY $VIX $FB $AAPL $IBM $NFLX $BABA\nhttps://t.co/DAm6G9Ovb2')
('2017-04-19 10:00:07', 'https://t.co/2Z1cZdCUXC // Analysis on $GPRO $ATHN $CPB $KORS $MPC $NFLX... // $QCOM #trading #investing #stocks https://t.co/4E8wnA3WF6')
('2017-04-19 09:48:56'," ""Liar's Poker by Michael Lewis: https://t.co/b8y3x8Enn1 $WFM $JPM $C $AAPL $TSLA $NFLX $SPY"")"
('2017-04-19 09:37:35', 'RT @YahooFinance: #Stocks to Watch Today: $POST $UAL $FB $NFLX https://t.co/58ipHPMdw9 https://t.co/BHSuu9nTY5')
('2017-04-19 09:29:22', 'RT @theflynews: On The Fly: Top stock stories for Tuesday $GS $BAC $JNJ $NFLX $FB $GNC $CAB $SNV $COF $CUDA $CAH $MDT https://t.co/dRkXAIHq‰Û_')
('2017-04-19 09:24:46', 'RT @curtmelonopoly: #earnings $BAC $NFLX $GS $UNH $JNJ $IBM $GE $QCOM $VZ $SCHW $MS $CUDA $BX $PGR $V $MTB $HOG $ABT $UAL $CMA $RF $USB  ht‰Û_')
('2017-04-19 09:19:42', 'RT @Investing_Books: One Up on Wall Street by Peter Lynch. Fantastic book on investing: https://t.co/6WRYJLtyMv $SPY $TSLA $VIX $VXX $NFLX‰Û_')
('2017-04-19 09:16:19', 'Netflix Inc. $NFLX Rating Reiterated by Royal Bank of Canada https://t.co/qWVNyqZNrq')
