('2017-04-17 15:59:15'," ""@ScottWapnerCNBC $AMZN crushes everyone they compete with.  $NFLX will be AMAZON'S next victim."")"
('2017-04-17 15:46:40', 'Are you Bullish or Bearish on #Netflix? Start #Trading $NFLX with #Bitcoin. 15:1 Leverage. #Cool #Gif #Stocks‰Û_ https://t.co/kWLRbOtpRt')
('2017-04-17 15:46:28', 'US stocks climb led by tech and consumer companies $NFLX https://t.co/UlOh4F4Kel')
('2017-04-17 15:45:39', 'RT @StockTwits: EARNINGS THIS WEEK\n\nMon - $NFLX $UAL\nTue - $BAC $GS $IBM $JNJ\nWed - $QCOM $MS $AXP\nThu - $VZ $V $BX\nFri - $GE $HON\n\nhttps:/‰Û_')
('2017-04-17 15:45:23', 'These assets are seeing a jump in tweets $AAPL $AMZN $GBPUSD $NFLX $TSLA https://t.co/DwFjBuFbaq https://t.co/3UMJ8rhYyM')
('2017-04-17 15:44:27', 'RT @WrigleyTom: Europe Closed‰ Ò |Snapshot\nUS Bulls going for it\nFANGs led by $NFLX\nBreadth +ve Vol light\n$USDJPY trying hard for Green\n10Y‰Û_')
('2017-04-17 15:42:50'," ""What if $NFLX subscribers aren't growing as much as expected?  $NFLX stock goes straight to 125."")"
('2017-04-17 15:42:40', '$NFLX could be a repeat of $LULU tmrw. too much hype way overpriced.')
('2017-04-17 15:42:18'," ""$SPY $NFLX 1pt away from 52wk highs going into earnings. That's not loaded for a sht show or anything... #stocks #tradeideas #investing"")"
('2017-04-17 15:41:48', 'Europe Closed‰ Ò |Snapshot\nUS Bulls going for it\nFANGs led by $NFLX\nBreadth +ve Vol light\n$USDJPY trying hard for G‰Û_ https://t.co/aawINi1rpn')
('2017-04-17 15:41:46', 'US stocks climb led by tech and consumer companies\n$LLY $ARNC $AMZN $LNCE $ABT $NFLX\nhttps://t.co/QLtkRuhQ4l via @Barchart')
('2017-04-17 15:41:39', 'RT @eWhispers: #earnings $BAC $NFLX $GS $UNH $JNJ $IBM $GE $QCOM $VZ $SCHW $MS $CUDA $BX $PGR $V $MTB $HOG $ABT $UAL $CMA $RF $USB  https:/‰Û_')
('2017-04-17 15:41:10', '@ModDarvasBox $NFLX https://t.co/fCJMoLv2SO')
('2017-04-17 15:41:03'," ""$spy $nflx 1pt away from 52wk highs going into earnings. That's not loaded for a sht show or anything..."")"
('2017-04-17 15:39:52'," ""RT @TradersCom: Today's #Earnings To Watch Apr 17 2017 All eyes on #netflix $MTB $BRO $NFLX $CE $PNFP $UAL $CUDA $SPX $SPY $QQQ https://t.c‰Û_"")"
('2017-04-17 15:39:05'," ""$NFLX: Netflix showing early relative strength ahead of tonight's earnings release... https://t.co/vD0raljPMO"")"
('2017-04-17 15:38:12'," ""RT @miriamgottfried: The logical conclusion is that Netflix execs don't want to answer questions about the cos earnings. That should give i‰Û_"")"
('2017-04-17 15:36:57'," ""$NFLX magic has run dry. Subscription expectations should hopefully be more realistic this quarter that company won't shatter"")"
('2017-04-17 15:35:55', 'Apparently they want to price $NFLX to perfection pre-earnings')
('2017-04-17 15:35:37', 'RT @NewsToDesk: $NFLX:\n\nNetflix Remains A Buy And Hold Into Earnings:\n\nhttps://t.co/ZNMpAE3isD')
('2017-04-17 15:35:05', 'RT @chessNwine: NEW POST: The Next Season https://t.co/jdPyF0YG6K $EXAS $IWM $NFLX $QQQ $SPY')
('2017-04-17 15:32:31', '#Netflix $NFLX +3.65 (+2.55%) Netflix Shares Jump as Expectations Run High for First Quarter Earnings‰Û_ https://t.co/c5gByVN9Iu')
('2017-04-17 15:32:00', 'RT @jenny_rebekka: $NFLX strong into earnings after the close. On watch.')
('2017-04-17 15:31:34', '$NFLX  $3 higher traders anticipating huge earnings beat after the close')
('2017-04-17 15:30:57', 'RT @_davidelman: $NFLX shares up 2.4% today ahead of earnings release.')
('2017-04-17 15:30:43', 'Netflix Remains A Buy And Hold Into Earnings https://t.co/YIY15jMOvX $AAPL #APPLE $NFLX')
('2017-04-17 15:30:21', 'See why these assets are trending in 1 watchlist $AAPL $DJIA $GBPUSD $NFLX $TSLA https://t.co/3BRkuCuYsz https://t.co/wChCl5qXgV')
('2017-04-17 15:30:05', '$NFLX:\n\nNetflix Remains A Buy And Hold Into Earnings:\n\nhttps://t.co/ZNMpAE3isD')
('2017-04-17 15:28:25', '$GBSND$1.45-((NEWS))Great-Basin-Locks-Convertibles-at $3/sh!! Huge upside here! CMCSA $SBUX $PCLN  $NFLX $CHTR‰Û_ https://t.co/rCh4Tgop6O')
('2017-04-17 15:28:14', '$NFLX:\n\nLong/short equity research analyst tech growth:\n\nhttps://t.co/g3UDlV2s3k')
('2017-04-17 15:27:17', 'RT @Estimize: $NFLX reports after the close Estimize Consensus +0.01 EPS and +4.23M Revs compared to WS https://t.co/jMHiMQwnrK')
('2017-04-17 15:27:08', 'Get #Stocks #Options #Trading Idea on $NFLX #Nasdaq ahead of #Earnings 17 Apr - HERE on our #mtbanalysis Mag &gt;‰Û_ https://t.co/8NMNRC1qC0 vi‰Û_')
('2017-04-17 15:26:44', 'Netflix Remains A Buy And Hold Into Earnings https://t.co/ExK34QPb4l $AAPL #APPLE $NFLX')
('2017-04-17 15:25:09', 'Get #Stocks #Options #Trading Idea on $NFLX #Nasdaq ahead of #Earnings 17 Apr - HERE on our #mtbanalysis Mag &gt;‰Û_ https://t.co/JsTszRj4Aa')
('2017-04-17 15:25:09', 'Get #Stocks #Options #Trading Idea on $NFLX #Nasdaq ahead of #Earnings 17 Apr - HERE on our #mtbanalysis Mag &gt;‰Û_ https://t.co/8OumZK5Z7g')
('2017-04-17 15:25:08', 'Get #Stocks #Options #Trading Idea on $NFLX #Nasdaq ahead of #Earnings 17 Apr - HERE on our #mtbanalysis Mag &gt;‰Û_ https://t.co/selp25CzhO')
('2017-04-17 15:25:08', 'Get #Stocks #Options #Trading Idea on $NFLX #Nasdaq ahead of #Earnings 17 Apr - HERE on our #mtbanalysis Mag &gt;‰Û_ https://t.co/NATffcUQPf')
('2017-04-17 15:25:08', 'Get #Stocks #Options #Trading Idea on $NFLX #Nasdaq ahead of #Earnings 17 Apr - HERE on our #mtbanalysis Mag &gt;‰Û_ https://t.co/30VAHUGBt5')
('2017-04-17 15:25:08', 'Get #Stocks #Options #Trading Idea on $NFLX #Nasdaq ahead of #Earnings 17 Apr - HERE on our #mtbanalysis Mag &gt;‰Û_ https://t.co/QVsEsNNVXv')
('2017-04-17 15:24:17', 'RT @StockSpotter: $NFLX up 2.4% to 146.39 possible bullish upswing? #stocks #options #trading  https://t.co/XPmhmIIlvk')
('2017-04-17 15:24:09'," ""RT @miriamgottfried: The logical conclusion is that Netflix execs don't want to answer questions about the cos earnings. That should give i‰Û_"")"
('2017-04-17 15:23:06', 'RT @_davidelman: $NFLX shares up 2.4% today ahead of earnings release.')
('2017-04-17 15:22:58', 'RT @_davidelman: $NFLX shares up 2.4% today ahead of earnings release.')
('2017-04-17 15:22:30', 'Earnings Packet for Week Ending 4/21/17  https://t.co/qudQgI7Ij6  #EARNINGS Pack $NFLX $CUDA $JNJ $IBM $ISRG $EBAY $QCOM')
('2017-04-17 15:21:50', 'There are still 4m domestic DVD subs for $NFLX.  Who are these people?')
('2017-04-17 15:20:30'," ""RT @miriamgottfried: The logical conclusion is that Netflix execs don't want to answer questions about the cos earnings. That should give i‰Û_"")"
('2017-04-17 15:18:39', 'RT @TheDomino: Over the last 20 Netflix $NFLX quarterly earnings reports there have been 13x when stock closed up or down by 10% or more.')
('2017-04-17 15:17:38', 'RT @StockTwits: EARNINGS THIS WEEK\n\nMon - $NFLX $UAL\nTue - $BAC $GS $IBM $JNJ\nWed - $QCOM $MS $AXP\nThu - $VZ $V $BX\nFri - $GE $HON\n\nhttps:/‰Û_')
('2017-04-17 15:16:38', 'RT @OptionAlert: Notable gainers among liquid option names this morning include $NFLX (+2.7%) $NVDA (+2.4%) $A (+2.4%) $TDC (+2.1%) and‰Û_')
('2017-04-17 15:16:01', 'Notable gainers among liquid option names this morning include $NFLX (+2.7%) $NVDA (+2.4%) $A (+2.4%) $TDC (+2.1%) and $AA (+1.8%)')
('2017-04-17 15:15:15', 'Track trending assets in 1 watchlist $AAPL $Blockchain $DJIA $NFLX $SPY https://t.co/nCPk5o3aQz https://t.co/9SY7PttXPI')
('2017-04-17 15:15:08', 'Netflix Shares Jump as Expectations Run High for 1st Qtr Earnings $NFLX @netflix $AMZN https://t.co/enLxQ1uy5B https://t.co/IfPPurH8Ut')
('2017-04-17 15:12:31', 'RT @chessNwine: NEW POST: The Next Season https://t.co/jdPyF0YG6K $EXAS $IWM $NFLX $QQQ $SPY')
('2017-04-17 15:12:08'," ""$NFLX expectations don't reflect current metrics valuations. Company still overvalued #WS"")"
('2017-04-17 15:12:03', '$NFLX Two Put lanes open ahead of earnings \n1) 133 strike 4/28 \n\n2) 140 strike 5/19 \n\n#STOCKS #INVESTING #CHARTS #OPTIONS  $SPY $QQQ $DIA')
('2017-04-17 15:11:18', '$NFLX Shorting right here.')
('2017-04-17 15:11:02', 'Unicorn Bay rating for $NFLX is 1.46 out of 5. https://t.co/DqEYlNGUl5')
('2017-04-17 15:10:30', '@Taarriqq anything un-usual activity with $nflx for earnings?')
('2017-04-17 15:10:17', 'RT @CBOE: Reporting today after the close - $NFLX $UAL - tomorrow before the open $BAC $GS $HOG $JNJ $SCHW $UNH https://t.co/yDyR86HmqD')
('2017-04-17 15:09:37', '$NFLX another exciting day in the markets.  $SPY $QQQ $DIA')
('2017-04-17 15:09:23', 'RT @CBOE: Reporting today after the close - $NFLX $UAL - tomorrow before the open $BAC $GS $HOG $JNJ $SCHW $UNH https://t.co/yDyR86HmqD')
('2017-04-17 15:09:22', 'Netflix‰Ûªs $NFLX ‰ÛÏBuy‰Ûù Rating Reaffirmed at Goldman Sachs Group Inc https://t.co/taIRCLvFY7')
('2017-04-17 15:09:16', '@markmahaney Are you still on board with $NFLX going up today after earnings? \n\n_Ù___Ù_´_Ù÷ç_Ù÷Â')
('2017-04-17 15:09:06'," ""The logical conclusion is that Netflix execs don't want to answer questions about the cos earnings. That should give investors pause. $NFLX"")"
('2017-04-17 15:08:59', 'RT @eWhispers: #earnings expectations for $NFLX have pushed to a multi-year high ahead of results    https://t.co/tYnPOgig7P https://t.co/x‰Û_')
('2017-04-17 15:08:49', 'Netflix‰Ûªs $NFLX ‰ÛÏBuy‰Ûù Rating Reaffirmed at Goldman Sachs Group Inc https://t.co/qwxzMzsvuP')
('2017-04-17 15:08:38', 'Netflix‰Ûªs $NFLX ‰ÛÏBuy‰Ûù Rating Reaffirmed at Goldman Sachs Group Inc https://t.co/6vWSYMYQuk #stocks')
('2017-04-17 15:08:34', 'Do not be foolish enough to think $NFLX stock will pop higher after earnings.  Best case already priced in.')
('2017-04-17 15:07:43', 'RT @StockTwits: EARNINGS THIS WEEK\n\nMon - $NFLX $UAL\nTue - $BAC $GS $IBM $JNJ\nWed - $QCOM $MS $AXP\nThu - $VZ $V $BX\nFri - $GE $HON\n\nhttps:/‰Û_')
('2017-04-17 15:06:57', 'RT @420WeedStreet: $SPY Nice! $SPX $QQQ $IWM $GS $CMG $BAC $AAPL $BABA $C $JPM $NFLX  $BIDU $SNAP $FB $DJI $DJIA $USO $VIX $UVXY https://t.‰Û_')
('2017-04-17 15:06:54'," 'Denny Fish trying to make the argument that $NFLX is an ""A.I."" play now.  No mention of mark-to-make believe valuations though...')"
('2017-04-17 15:06:18', 'RT @t3live: How to Trade $NFLX After Earnings: https://t.co/Sxi9W0ps7V')
('2017-04-17 15:06:14', 'RT @CBOE: Reporting today after the close - $NFLX $UAL - tomorrow before the open $BAC $GS $HOG $JNJ $SCHW $UNH https://t.co/yDyR86HmqD')
('2017-04-17 15:05:18'," 'Wedbush ""Expect $NFLX to continue to burn more cash"" .  Cost of content is ruining Netflix business model.')"
('2017-04-17 15:04:33', '$NFLX up 2.4% to 146.39 possible bullish upswing? #stocks #options #trading  https://t.co/XPmhmIIlvk')
('2017-04-17 15:04:13', 'RT @jenny_rebekka: $NFLX strong into earnings after the close. On watch.')
('2017-04-17 15:03:27', '$NFLX earnings likely to set the tone for the high-beta earnings reports when they report this afternoon - https://t.co/O1fdtEOIjG #stocks')
('2017-04-17 15:03:06', 'RT @chessNwine: NEW POST: The Next Season https://t.co/jdPyF0YG6K $EXAS $IWM $NFLX $QQQ $SPY')
('2017-04-17 15:03:03', 'RT @CBOE: Reporting today after the close - $NFLX $UAL - tomorrow before the open $BAC $GS $HOG $JNJ $SCHW $UNH https://t.co/yDyR86HmqD')
('2017-04-17 15:02:51', 'Netflix Inc. $NFLX Shares Sold by Bristol John W &amp; Co. Inc. NY https://t.co/tRq3uQOyqw')
('2017-04-17 15:02:51', '$NFLX has moved their 3 biggest shows into the next quarter so that guidance might exceed expectations #HOC #OITNB #Bloodline')
('2017-04-17 15:02:41', '$NFLX Short interest is low this things ripe for a drop.')
('2017-04-17 15:01:23', 'Reporting today after the close - $NFLX $UAL - tomorrow before the open $BAC $GS $HOG $JNJ $SCHW $UNH https://t.co/yDyR86HmqD')
('2017-04-17 15:01:12', 'US stocks start higher led by tech and consumer companies\n$AMZN $ABT $LNCE $LLY $NFLX\nhttps://t.co/25w0KCmp3L via @Barchart')
('2017-04-17 15:00:28', 'RT @FoxBusiness: #StockAlert - Stocks to watch today on #WallStreet $GM $NFLX https://t.co/6zBYEaEZ7t')
('2017-04-17 15:00:13', 'https://t.co/JGqllsKCR0 // Stock Market Weekly Report $SPY $INCY $WYNN $NFLX... // $INCY #trading #investing #stocks https://t.co/NZaouMTju1')
('2017-04-17 15:00:06', '$NFLX reports after the close Estimize Consensus +0.01 EPS and +4.23M Revs compared to WS https://t.co/jMHiMQwnrK')
('2017-04-17 15:00:02', '$NFLX strong into earnings after the close. On watch.')
('2017-04-17 14:59:09'," ""Netflix's outperform rating reiterated at Royal Bank of Canada. $175.00 PT. https://t.co/ihyxTTFCdk $NFLX #NFLX"")"
('2017-04-17 14:58:53'," ""RT @ExactOptionPick: Did you get today's FREE OPTION TRADE?  If not sign-up for free https://t.co/78FVQDKYyw\n\n$TSLA $NVDA $QCOM $AMD $BABA‰Û_"")"
('2017-04-17 14:58:49', 'Why not just do a regular conference call where analysts ask questions? No one asked for a video! $NFLX')
('2017-04-17 14:57:18', 'Adding some $NFLX May5 140-130 put spreads for earnings against our existing long stk. Mkt may be a little too bulled up on tech here.')
('2017-04-17 14:57:18', 'Earnings on deck this week; $NFLX kicks things off. Have a look: https://t.co/5oQYfD2WD8')
('2017-04-17 14:57:11', 'NFLX Top news - Apr 17th 2017 $NFLX http://https://t.co/RhRguAferD')
('2017-04-17 14:57:04'," 'Netflix is prerecording its earnings video ahead of the release of the nos today to ""improve audio video quality."" Do you buy that? $NFLX')"
('2017-04-17 14:56:23', 'Did shorts started to COVER yet? $SPY $NFLX $SPX')
('2017-04-17 14:56:17'," ""Netflix's outperform rating reiterated at Royal Bank of Canada. $175.00 PT. https://t.co/0nvOWNJmhX $NFLX #NFLX"")"
('2017-04-17 14:56:11'," ""Today's #Earnings To Watch Apr 17 2017 All eyes on #netflix $MTB $BRO $NFLX $CE $PNFP $UAL $CUDA $SPX $SPY $QQQ https://t.co/AR9rZoWbXL"")"
('2017-04-17 14:56:07', 'Netflix Inc. $NFLX Shares Sold by Bristol John W &amp; Co. Inc. NY https://t.co/ETC9j2zNSL')
('2017-04-17 14:55:43', '@zerohedge Netflix is already Chapter 11 $NFLX @MirrorTech https://t.co/rjXm5XjEog')
('2017-04-17 14:52:31', 'Tickers trending on TWTR in last 1 hour $AAPL $Blockchain $DJIA $EURUSD $NFLX https://t.co/6kptFeqNYe https://t.co/OU7ke5qC44')
('2017-04-17 14:52:21'," ""RT @GerberKawasaki: #stocks start higher on stong #China GDP and tech earnings on tap with Netflix today. It's higher $nflx Nvidia is also‰Û_"")"
('2017-04-17 14:52:04', '$ABT $NFLX:\n\nPreMarket Prep For April 17: Canadian Solar Finally Gets A Bullish ‰Û_:\n\nhttps://t.co/u4Ia94ogM7')
('2017-04-17 14:51:36', '$NFLX nhod')
('2017-04-17 14:50:10', '#MostActiveAlert $NFLX NETFLIX #TradeIdeas via ‰_Á https://t.co/VS8RO1bzXJ to #FreeTradingRoom')
('2017-04-17 14:50:06', 'RT @_lauracasey: $NFLX https://t.co/mTBcnJTqri')
('2017-04-17 14:48:58', 'RT @SJosephBurns: EARNINGS THIS WEEK\n\nMon $NFLX $UAL\nTue $BAC $GS $IBM $JNJ\nWed $QCOM $MS $AXP\nThu $VZ $V $BX\nFri $GE $HON\n@StockTwits http‰Û_')
('2017-04-17 14:48:28', '$NFLX https://t.co/mTBcnJTqri')
('2017-04-17 14:46:28', 'RT @WrigleyTom: $NFLX\ngonna trade entire IV before print?\ndefine risk/protect positions via options OR see # 1st\nlotta day left/FANGs will‰Û_')
('2017-04-17 14:45:59', '$NFLX high open interest range is 130.00 to 145.00 for option expiration 04/21/2017. https://t.co/doCfoTVJ8p https://t.co/40HmfSOoP9')
('2017-04-17 14:45:11', 'RT @RichBTIG: 10 Questions Heading into @Netflixs Q1 2017 Earnings Interview Tonight $NFLX https://t.co/B4viMcY3gL')
('2017-04-17 14:44:10', 'RT @OphirGottlieb: https://t.co/8p0VaXnAZS\nNetflix earnings: As the streaming company increases content investment here‰Ûªs what to expect\n-‰Û_')
('2017-04-17 14:43:28', 'MelissaLeeCNBC: RT TheDomino: Over the last 20 Netflix $NFLX quarterly earnings reports there have been 13x when stock closed up or down b‰Û_')
('2017-04-17 14:43:14', '$NFLX operating cash flow compared to net income something is off #stocks #investing #netflix https://t.co/Pk2J6Hx8eC')
('2017-04-17 14:43:06', 'Thanks to @SquawkStreet for the discussion on $NFLX Q1 outlook with @carlquintanilla @SaraEisen @davidfaber')
('2017-04-17 14:42:58', 'RT @TheDomino: Over the last 20 Netflix $NFLX quarterly earnings reports there have been 13x when stock closed up or down by 10% or more.')
('2017-04-17 14:41:51'," ""RT @ExactOptionPick: Did you get today's FREE OPTION TRADE?  If not sign-up for free https://t.co/78FVQDKYyw\n\n$TSLA $NVDA $QCOM $AMD $BABA‰Û_"")"
('2017-04-17 14:41:51'," ""RT @ExactOptionPick: Did you get today's FREE OPTION TRADE?  If not sign-up for free https://t.co/78FVQDKYyw\n\n$TSLA $NVDA $QCOM $AMD $BABA‰Û_"")"
('2017-04-17 14:41:40'," ""Did you get today's FREE OPTION TRADE?  If not sign-up for free https://t.co/78FVQDKYyw\n\n$TSLA $NVDA $QCOM $AMD $BABA $NFLX $LULU $AAPL $FB"")"
('2017-04-17 14:40:48', 'NEW POST: The Next Season https://t.co/jdPyF0YG6K $EXAS $IWM $NFLX $QQQ $SPY')
('2017-04-17 14:39:28', '$NFLX After markets hoy')
('2017-04-17 14:38:47', '$NFLX what a solid reversal from below the 50dma. Looks like bears have a higher point to jump and splat from. #learn')
('2017-04-17 14:38:47', 'Was Thinking about gambling on $NFLX tonight soooooobest I chill for the day.')
('2017-04-17 14:38:20', '$NFLX\ngonna trade entire IV before print?\ndefine risk/protect positions via options OR see # 1st\nlotta day left/FANGs will react accordingly')
('2017-04-17 14:38:15', 'FREE DAILY Option Trade of the Day \n\n https://t.co/bH3khIQnO0 \n\n$QCOM $NVDA $TSLA $NFLX $BABA $GOOGL $FB $SPY $IWM')
('2017-04-17 14:37:02'," ""This week's earnings include $NFLX $BAC $HOG $ABT $CSX and $MS."")"
('2017-04-17 14:35:21', 'RT @TheDomino: Over the last 20 Netflix $NFLX quarterly earnings reports there have been 13x when stock closed up or down by 10% or more.')
('2017-04-17 14:35:04', 'Web Stock buzz: $UAL $AAPL $NFLX $WFC $CBLI (10:35 am) #stocks #finance #stockmarket #StockPicks')
('2017-04-17 14:35:03', '$NFLX $UAL:\n\nBack To The Grind: International Tension Still Predominates After ‰Û_:\n\nhttps://t.co/tFJbwfTNr7')
('2017-04-17 14:34:20', 'RT @StockTwits: EARNINGS THIS WEEK\n\nMon - $NFLX $UAL\nTue - $BAC $GS $IBM $JNJ\nWed - $QCOM $MS $AXP\nThu - $VZ $V $BX\nFri - $GE $HON\n\nhttps:/‰Û_')
('2017-04-17 14:34:06', '$NFLX:US Netflix Inc. (NFLX) Stock Rating Upgraded by Vetr Inc. #NETFLIX INC  https://t.co/vhx4G9LTzS #NASDAQ')
('2017-04-17 14:33:13', 'RT @StocksByPaige: $NFLX to report earnings after the bell today with a consensus:\n\nRevenue: $2.64B\nE.P.S      : $0.38\n\n#Netflix #Stocks #e‰Û_')
('2017-04-17 14:33:00', 'I think $NFLX stock will shit the bed after earnings tonight.  There is just no business model for profit to justify a 330 p/e.')
('2017-04-17 14:32:44', 'Netflix Inc. $NFLX PT Set at $160.00 by Cantor Fitzgerald https://t.co/rJD4n0PCyx')
('2017-04-17 14:31:59'," ""We're excited to hear from $NFLX Netflix and $UAL United Airlines tonight.  Netflix's stock usually has a large move after they report"")"
('2017-04-17 14:31:42', '$NFLX to report earnings after the bell today with a consensus:\n\nRevenue: $2.64B\nE.P.S      : $0.38\n\n#Netflix #Stocks #earnings')
('2017-04-17 14:30:13', 'Top Stock searches on message boards and Twitter: $USO $AAPL $SPY $FB $NFLX (10:30 am) #stocks #finance #stockmarket #StockPicks')
('2017-04-17 14:29:27', 'RT @OphirGottlieb: https://t.co/8p0VaXnAZS\nNetflix earnings: As the streaming company increases content investment here‰Ûªs what to expect\n-‰Û_')
('2017-04-17 14:29:12', 'RT @StockTwits: EARNINGS THIS WEEK\n\nMon - $NFLX $UAL\nTue - $BAC $GS $IBM $JNJ\nWed - $QCOM $MS $AXP\nThu - $VZ $V $BX\nFri - $GE $HON\n\nhttps:/‰Û_')
('2017-04-17 14:27:03', 'Long $NFLX $150 puts expiring next week.  b/e $141.40.  Not a believer.')
('2017-04-17 14:25:48', 'RT @StockTwits: EARNINGS THIS WEEK\n\nMon - $NFLX $UAL\nTue - $BAC $GS $IBM $JNJ\nWed - $QCOM $MS $AXP\nThu - $VZ $V $BX\nFri - $GE $HON\n\nhttps:/‰Û_')
('2017-04-17 14:25:27'," ""RT @LeonLazaroff: Netflix $NFLX reports today. Here's what to expect from @TheStreet's @EricJhonsa: https://t.co/UcSblUxv40"")"
('2017-04-17 14:23:46', 'RT @TheDomino: Over the last 20 Netflix $NFLX quarterly earnings reports there have been 13x when stock closed up or down by 10% or more.')
('2017-04-17 14:23:19'," ""Netflix $NFLX reports today. Here's what to expect from TheStreet's EricJhonsa: https://t.co/ASYX8uxgFY\n\n‰ÛÓ Leon Lazaroff (LeonLazaroff) Ap‰Û_"")"
('2017-04-17 14:22:12', 'RT @eWhispers: #earnings $BAC $NFLX $GS $UNH $JNJ $IBM $GE $QCOM $VZ $SCHW $MS $CUDA $BX $PGR $V $MTB $HOG $ABT $UAL $CMA $RF $USB  https:/‰Û_')
('2017-04-17 14:22:10', 'RT @eWhispers: #earnings expectations for $NFLX have pushed to a multi-year high ahead of results    https://t.co/tYnPOgig7P https://t.co/x‰Û_')
('2017-04-17 14:21:12', 'NFLX $NFLX https://t.co/SoH5REY8NP TV_TradingIdeas')
('2017-04-17 14:20:54', 'https://t.co/8p0VaXnAZS\nNetflix earnings: As the streaming company increases content investment here‰Ûªs what to expect\n-\n$NFLX')
('2017-04-17 14:20:40', '$NFLX\ncredit card scrapers like M Science have better sub data than surveyors like Baird')
('2017-04-17 14:20:39'," ""RT @LeonLazaroff: Netflix $NFLX reports today. Here's what to expect from @TheStreet's @EricJhonsa: https://t.co/UcSblUxv40"")"
('2017-04-17 14:19:43', 'NFLX $NFLX https://t.co/2ahn1FCz6o')
('2017-04-17 14:19:43', 'NFLX - $NFLX chart https://t.co/DTx3dmvuU9')
('2017-04-17 14:19:05', '$NFLX: A company with a $62+ Billion mkt. cap. with quartley revenues expected to be $2.6 Billion today. Over six times sales valuation?WTF?')
('2017-04-17 14:18:45'," ""$nflx closed my Jun 145 calls at 8.90avg from 6.70 lock profit ..still think going higher with earnings but I'm happy with this profit"")"
('2017-04-17 14:16:54', 'Out of $NFLX at 145.68 feel that the stock will be +-10 pts on earnings tonight not worth the risk/reward #investing #trading #TomsTruths')
('2017-04-17 14:14:35', 'NETFLIX REPORTS AFTER THE BELL ‰ÛÒ Momentum Trading with RaginCajun  $nflx https://t.co/UKXJl7bSm3')
('2017-04-17 14:14:31', 'RT @SJosephBurns: EARNINGS THIS WEEK\n\nMon $NFLX $UAL\nTue $BAC $GS $IBM $JNJ\nWed $QCOM $MS $AXP\nThu $VZ $V $BX\nFri $GE $HON\n@StockTwits http‰Û_')
('2017-04-17 14:13:51', 'RT @StockTwits: EARNINGS THIS WEEK\n\nMon - $NFLX $UAL\nTue - $BAC $GS $IBM $JNJ\nWed - $QCOM $MS $AXP\nThu - $VZ $V $BX\nFri - $GE $HON\n\nhttps:/‰Û_')
('2017-04-17 14:13:34', 'RT @pennyspicks: $UBQU +22% .05 Coming NEWS OUT!!\n$MJNA $TRTC $HEMP $CBIS $MCOA $RMHB $AAPL $GOOG $VAPE $MCIG $FNMA $AMZN $NFLX #POTSTOCKS‰Û_')
('2017-04-17 14:13:13', '$NFLX:\n\nNetflix Higher Ahead Of Q1 Report:\n\nhttps://t.co/7xpE2pBOQi')
('2017-04-17 14:12:33', '$NFLX Earnings this evening https://t.co/kAsSuQxQLV')
